@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE precision_micro NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
75100,1.0,51,0.00379609544468551,ok
75178,1.0,52,0.7427538734258812,ok
75236,1.0,53,0.030476190476190435,ok
75179,1.0,54,0.1775804661487237,ok
75213,1.0,55,0.06036745406824151,ok
2123,1.0,56,0.05882352941176472,ok
75227,1.0,57,0.09590577678070666,ok
75184,1.0,58,0.10206317327003833,ok
75142,1.0,59,0.06994722366758344,ok
236,1.0,60,0.03136363636363637,ok
2122,1.0,61,0.1113631453877727,ok
75188,1.0,62,0.12840466926070038,ok
75166,1.0,63,0.09211986681465034,ok
75181,1.0,64,0.0,ok
75133,1.0,65,0.005443483829650986,ok
75134,1.0,66,0.0966307005128394,ok
75198,1.0,67,0.12079898541534562,ok
262,1.0,68,0.002481389578163795,ok
75234,1.0,69,0.024160524160524166,ok
75139,1.0,70,0.012121212121212088,ok
252,1.0,71,0.1575757575757576,ok
75117,1.0,72,0.07072691552062871,ok
75113,1.0,73,0.0052631578947368585,ok
75098,1.0,74,0.024761904761904763,ok
246,1.0,75,0.009090909090909038,ok
75203,1.0,76,0.09460737937559127,ok
75237,1.0,77,0.0004328040757778373,ok
75195,1.0,78,0.000668995763026814,ok
75171,1.0,79,0.1638919718830929,ok
75128,1.0,80,0.020332717190388205,ok
75096,1.0,81,0.11347752563177749,ok
75250,1.0,82,0.3427829298484142,ok
75146,1.0,83,0.11395195062816843,ok
75116,1.0,84,0.00982318271119842,ok
75157,1.0,85,0.4415041782729805,ok
75187,1.0,86,0.020475020475020478,ok
2350,1.0,87,0.3686439616068967,ok
242,1.0,88,0.004545454545454519,ok
244,1.0,89,0.11515151515151512,ok
75125,1.0,90,0.027504911591355596,ok
75185,1.0,91,0.12494236975564776,ok
75163,1.0,92,0.060374149659863985,ok
75177,1.0,93,0.01768488745980712,ok
75189,1.0,94,0.019072606155334793,ok
75244,1.0,95,0.06408498971898557,ok
75219,1.0,96,0.01901679142221324,ok
75222,1.0,97,0.040723981900452455,ok
75159,1.0,98,0.0767123287671233,ok
75175,1.0,99,0.10306856555571864,ok
75109,1.0,100,0.3096992019643954,ok
254,1.0,101,0.0,ok
75105,1.0,102,0.018121212121212094,ok
75106,1.0,103,0.07212121212121214,ok
75212,1.0,104,0.2494172494172494,ok
75099,1.0,105,0.12661870503597117,ok
75248,1.0,106,0.09959514170040484,ok
233,1.0,107,0.004743833017077814,ok
75235,1.0,108,0.0005555555555555314,ok
75226,1.0,109,0.00395497414055368,ok
75132,1.0,110,0.05122628384658845,ok
75127,1.0,111,0.331277107350727,ok
251,1.0,112,0.0,ok
75161,1.0,113,0.06489258901360295,ok
75143,1.0,114,0.012715033657442087,ok
75114,1.0,115,0.03339882121807469,ok
75182,1.0,116,0.11013567438148442,ok
75112,1.0,117,0.1132887189292543,ok
75210,1.0,118,0.0,ok
75205,1.0,119,0.18327450448004345,ok
75090,1.0,120,0.046328671328671356,ok
275,1.0,121,0.03802281368821292,ok
288,1.0,122,0.12242424242424244,ok
75092,1.0,123,0.10187110187110182,ok
3043,1.0,124,0.01768488745980712,ok
75249,1.0,125,0.004823151125401881,ok
75126,1.0,126,0.06483300589390961,ok
75225,1.0,127,0.05143540669856461,ok
75141,1.0,128,0.05475397706252316,ok
75107,1.0,129,0.06242424242424238,ok
75097,1.0,130,0.05835568297419769,ok
% 
% 
% 
