@RELATION auto-sklearn_FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE NumberOfInstances NUMERIC
@ATTRIBUTE LogNumberOfInstances NUMERIC
@ATTRIBUTE NumberOfFeatures NUMERIC
@ATTRIBUTE LogNumberOfFeatures NUMERIC
@ATTRIBUTE MissingValues NUMERIC
@ATTRIBUTE NumberOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE PercentageOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE PercentageOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfMissingValues NUMERIC
@ATTRIBUTE PercentageOfMissingValues NUMERIC
@ATTRIBUTE NumberOfNumericFeatures NUMERIC
@ATTRIBUTE NumberOfCategoricalFeatures NUMERIC
@ATTRIBUTE RatioNumericalToNominal NUMERIC
@ATTRIBUTE RatioNominalToNumerical NUMERIC
@ATTRIBUTE DatasetRatio NUMERIC
@ATTRIBUTE LogDatasetRatio NUMERIC
@ATTRIBUTE InverseDatasetRatio NUMERIC
@ATTRIBUTE LogInverseDatasetRatio NUMERIC
@ATTRIBUTE NumSymbols NUMERIC
@ATTRIBUTE SymbolsMin NUMERIC
@ATTRIBUTE SymbolsMax NUMERIC
@ATTRIBUTE SymbolsMean NUMERIC
@ATTRIBUTE SymbolsSTD NUMERIC
@ATTRIBUTE SymbolsSum NUMERIC
@ATTRIBUTE Kurtosisses NUMERIC
@ATTRIBUTE KurtosisMin NUMERIC
@ATTRIBUTE KurtosisMax NUMERIC
@ATTRIBUTE KurtosisMean NUMERIC
@ATTRIBUTE KurtosisSTD NUMERIC
@ATTRIBUTE Skewnesses NUMERIC
@ATTRIBUTE SkewnessMin NUMERIC
@ATTRIBUTE SkewnessMax NUMERIC
@ATTRIBUTE SkewnessMean NUMERIC
@ATTRIBUTE SkewnessSTD NUMERIC

@DATA
75188,1.0,1e-05,1e-05,2e-05,1e-05,0.05522,0.00659,0.00042,0.04887,0.00048,0.00066,0.0,0.00042,0.00037,0.00065,0.00077,0.0009,1e-05,0.00098,2e-05,0.00073,4e-05,7e-05,0.00018,0.00027,0.00017,0.00228,0.0005,0.00055,0.00052,0.00071,0.00253,0.00049,0.00055,0.00058,0.00091
75159,1.0,2e-05,2e-05,2e-05,2e-05,0.00136,0.00099,7e-05,0.00033,8e-05,0.00021,2e-05,0.0001,0.0001,0.00014,0.00016,0.00016,7e-05,0.00019,8e-05,0.00092,1e-05,9e-05,0.0002,0.00039,0.00023,0.00049,7e-05,8e-05,0.00012,0.00023,0.00043,6e-05,8e-05,8e-05,0.0002
75192,1.0,1e-05,1e-05,2e-05,1e-05,0.00188,0.00165,1e-05,0.00016,1e-05,9e-05,0.0,1e-05,1e-05,3e-05,5e-05,2e-05,1e-05,4e-05,1e-05,0.00039,1e-05,0.0,9e-05,0.00021,9e-05,0.00048,5e-05,8e-05,0.0001,0.00025,0.00045,6e-05,0.0001,0.0001,0.0002
262,1.0,1e-05,1e-05,1e-05,1e-05,0.00488,0.00434,1e-05,0.00037,1e-05,0.00019,0.0,2e-05,1e-05,4e-05,6e-05,2e-05,1e-05,4e-05,1e-05,0.0004,1e-05,0.0,9e-05,0.00021,9e-05,0.00037,6e-05,7e-05,8e-05,0.00017,0.00045,6e-05,0.00012,9e-05,0.00018
233,1.0,2e-05,1e-05,2e-05,1e-05,0.00289,0.0023,2e-05,0.00037,2e-05,0.00026,1e-05,3e-05,3e-05,6e-05,9e-05,3e-05,1e-05,8e-05,3e-05,0.00064,1e-05,1e-05,0.00016,0.00033,0.00014,0.00045,6e-05,9e-05,9e-05,0.00022,0.0005,7e-05,0.0001,9e-05,0.00024
75177,1.0,1e-05,1e-05,1e-05,1e-05,0.0017,0.0014,1e-05,0.0002,1e-05,0.00013,0.0,2e-05,1e-05,3e-05,5e-05,2e-05,1e-05,4e-05,1e-05,0.00038,1e-05,0.0,8e-05,0.0002,0.0001,0.00038,6e-05,7e-05,9e-05,0.00017,0.00045,6e-05,9e-05,8e-05,0.00021
261,1.0,2e-05,2e-05,1e-05,1e-05,0.00079,0.00058,1e-05,0.00014,1e-05,0.0001,0.0,2e-05,2e-05,4e-05,8e-05,2e-05,1e-05,5e-05,1e-05,0.00045,1e-05,0.0,0.0001,0.00023,0.0001,0.0005,8e-05,9e-05,0.00011,0.00022,0.00045,6e-05,0.0001,9e-05,0.0002
2120,1.0,1e-05,1e-05,1e-05,1e-05,0.00459,0.00383,1e-05,0.00045,2e-05,0.00033,1e-05,3e-05,2e-05,7e-05,8e-05,3e-05,1e-05,6e-05,1e-05,0.00058,1e-05,0.0,0.00013,0.00032,0.00012,0.00051,6e-05,9e-05,8e-05,0.00029,0.0005,6e-05,0.0001,0.00011,0.00023
75132,1.0,1e-05,0.0,2e-05,1e-05,0.45642,0.41356,1e-05,0.03273,1e-05,0.01015,0.0,1e-05,1e-05,3e-05,6e-05,2e-05,1e-05,6e-05,2e-05,0.00049,1e-05,0.0,0.00012,0.00023,0.00013,0.00046,7e-05,8e-05,8e-05,0.00023,0.00053,6e-05,0.0001,9e-05,0.00028
75212,1.0,1e-05,1e-05,1e-05,1e-05,0.0008,0.00059,1e-05,0.00015,1e-05,9e-05,0.0,2e-05,1e-05,3e-05,5e-05,2e-05,1e-05,4e-05,1e-05,0.00037,0.0,0.0,8e-05,0.00019,9e-05,0.00055,8e-05,0.00012,0.00011,0.00024,0.00047,6e-05,0.0001,9e-05,0.00022
