@RELATION auto-sklearn_FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE KurtosisMin NUMERIC
@ATTRIBUTE PCAFractionOfComponentsFor95PercentVariance NUMERIC
@ATTRIBUTE NumberOfCategoricalFeatures NUMERIC
@ATTRIBUTE NumberOfNumericFeatures NUMERIC
@ATTRIBUTE PercentageOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE SymbolsMean NUMERIC
@ATTRIBUTE LandmarkDecisionTree NUMERIC
@ATTRIBUTE NumberOfInstances NUMERIC
@ATTRIBUTE SkewnessSTD NUMERIC
@ATTRIBUTE KurtosisSTD NUMERIC
@ATTRIBUTE SkewnessMin NUMERIC
@ATTRIBUTE RatioNominalToNumerical NUMERIC
@ATTRIBUTE PCA NUMERIC
@ATTRIBUTE LogNumberOfInstances NUMERIC
@ATTRIBUTE PCASkewnessFirstPC NUMERIC
@ATTRIBUTE LogNumberOfFeatures NUMERIC
@ATTRIBUTE LandmarkDecisionNodeLearner NUMERIC
@ATTRIBUTE Skewnesses NUMERIC
@ATTRIBUTE ClassProbabilityMax NUMERIC
@ATTRIBUTE NumberOfFeatures NUMERIC
@ATTRIBUTE RatioNumericalToNominal NUMERIC
@ATTRIBUTE NumberOfClasses NUMERIC
@ATTRIBUTE NumberOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE SkewnessMax NUMERIC
@ATTRIBUTE Kurtosisses NUMERIC
@ATTRIBUTE LandmarkLDA NUMERIC
@ATTRIBUTE LandmarkRandomNodeLearner NUMERIC
@ATTRIBUTE SymbolsMax NUMERIC
@ATTRIBUTE PercentageOfMissingValues NUMERIC
@ATTRIBUTE ClassOccurences NUMERIC
@ATTRIBUTE LogDatasetRatio NUMERIC
@ATTRIBUTE PCAKurtosisFirstPC NUMERIC
@ATTRIBUTE SymbolsSum NUMERIC
@ATTRIBUTE InverseDatasetRatio NUMERIC
@ATTRIBUTE ClassProbabilityMean NUMERIC
@ATTRIBUTE SymbolsMin NUMERIC
@ATTRIBUTE ClassProbabilityMin NUMERIC
@ATTRIBUTE NumSymbols NUMERIC
@ATTRIBUTE KurtosisMax NUMERIC
@ATTRIBUTE Landmark1NN NUMERIC
@ATTRIBUTE LandmarkNaiveBayes NUMERIC
@ATTRIBUTE PercentageOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE ClassEntropy NUMERIC
@ATTRIBUTE MissingValues NUMERIC
@ATTRIBUTE KurtosisMean NUMERIC
@ATTRIBUTE LogInverseDatasetRatio NUMERIC
@ATTRIBUTE SymbolsSTD NUMERIC
@ATTRIBUTE NumberOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE ClassProbabilitySTD NUMERIC
@ATTRIBUTE NumberOfMissingValues NUMERIC
@ATTRIBUTE DatasetRatio NUMERIC
@ATTRIBUTE SkewnessMean NUMERIC

@DATA
2120,1.0,5e-05,5e-05,2e-05,3e-05,2e-05,0.00026,0.78777,1e-05,0.00039,0.00025,5e-05,0.00011,0.07005,1e-05,0.04474,1e-05,0.08877,0.00061,1e-05,2e-05,7e-05,0.00018,0.00169,6e-05,0.00046,0.53819,0.02733,1e-05,1e-05,0.00034,1e-05,0.02526,7e-05,7e-05,5e-05,1e-05,6e-05,0.00099,5e-05,1.35102,0.12891,3e-05,0.00574,0.00254,0.00011,2e-05,0.00065,0.00056,0.00021,0.00034,4e-05,0.00012
2122,1.0,4e-05,7e-05,2e-05,2e-05,1e-05,0.00026,1.39382,1e-05,0.00047,0.00025,4e-05,9e-05,0.04196,1e-05,0.03033,1e-05,0.25826,0.00069,1e-05,1e-05,6e-05,0.0006,0.0102,6e-05,0.00047,3.19279,0.15664,1e-05,1e-05,0.00021,1e-05,0.01156,6e-05,5e-05,5e-05,0.0,4e-05,0.00513,7e-05,71.51876,0.26208,2e-05,0.0057,0.01096,0.00011,1e-05,0.00481,0.00063,0.00011,0.00017,3e-05,0.00011
2123,1.0,4e-05,4e-05,2e-05,2e-05,1e-05,0.00047,0.2846,1e-05,0.00033,0.00025,5e-05,8e-05,0.00825,1e-05,0.00586,1e-05,0.07868,0.00055,1e-05,1e-05,6e-05,8e-05,0.00037,5e-05,0.00046,0.20326,0.03788,0.0,1e-05,0.0002,1e-05,0.00234,6e-05,4e-05,5e-05,0.0,4e-05,0.00284,5e-05,0.13009,0.06438,2e-05,0.0005,0.00051,0.00011,1e-05,0.00231,0.00013,0.0001,5e-05,3e-05,0.00011
2350,1.0,8e-05,1e-05,5e-05,5e-05,7e-05,0.00027,0.0,4e-05,0.00044,0.00031,9e-05,0.00018,9e-05,1e-05,7e-05,1e-05,1e-05,0.0008,2e-05,4e-05,0.00013,0.00182,0.76706,9e-05,0.00063,0.0,2e-05,1e-05,1e-05,0.00039,2e-05,1e-05,0.00012,0.00021,6e-05,1e-05,5e-05,0.00125,9e-05,2.43616,1e-05,0.0001,0.02503,0.81845,0.00015,3e-05,0.00083,0.04508,0.00026,0.00648,0.00015,0.00019
3043,1.0,4e-05,6e-05,2e-05,2e-05,2e-05,0.00027,0.14239,1e-05,0.00031,0.00027,7e-05,0.00011,0.00519,1e-05,0.0028,1e-05,0.05945,0.00055,2e-05,1e-05,7e-05,0.00011,0.00098,7e-05,0.00048,0.57683,0.04173,0.0,1e-05,0.00031,1e-05,0.00233,8e-05,7e-05,6e-05,2e-05,0.0001,0.00098,6e-05,1.06327,0.08173,2e-05,0.00113,0.00131,0.00012,2e-05,0.00061,0.00027,0.00014,0.00011,4e-05,0.00011
75090,1.0,7e-05,0.0002,5e-05,5e-05,5e-05,0.00091,11.82404,1e-05,0.00036,0.00027,7e-05,0.00014,0.02636,1e-05,0.01009,1e-05,4.31446,0.00066,1e-05,2e-05,0.00011,0.00014,0.00294,9e-05,0.00056,42.59303,0.19686,1e-05,1e-05,0.00026,1e-05,0.01607,7e-05,0.00015,5e-05,1e-05,6e-05,0.01493,8e-05,24.45248,1.05945,6e-05,0.00102,0.0198,0.00014,2e-05,0.01394,0.01529,0.00014,0.00169,0.00011,0.00015
75092,1.0,5e-05,4e-05,2e-05,2e-05,2e-05,0.00254,0.4099,1e-05,0.0003,0.00025,5e-05,0.00011,0.02053,1e-05,0.01587,1e-05,0.18829,0.00051,1e-05,1e-05,7e-05,9e-05,0.00044,5e-05,0.00045,0.19765,0.06904,1e-05,1e-05,0.00034,2e-05,0.00462,0.0001,7e-05,5e-05,1e-05,0.00011,0.01624,4e-05,0.35284,0.07917,2e-05,0.00074,0.00069,0.00011,1e-05,0.01359,0.00021,0.00017,9e-05,5e-05,0.00012
75093,1.0,4e-05,4e-05,3e-05,2e-05,3e-05,0.00018,2.80266,1e-05,0.00034,0.00025,5e-05,0.00011,0.01801,1e-05,0.01436,3e-05,0.26563,0.00055,1e-05,4e-05,8e-05,0.00018,0.00253,5e-05,0.00045,0.58539,0.08264,1e-05,1e-05,0.00035,1e-05,0.00362,7e-05,6e-05,5e-05,1e-05,8e-05,0.00078,5e-05,3.39548,0.13013,0.02019,0.00247,0.00319,0.00011,2e-05,0.00052,0.02067,0.0002,0.00022,3e-05,0.00011
75095,1.0,4e-05,5e-05,2e-05,2e-05,1e-05,0.00048,0.38623,1e-05,0.00026,0.01038,5e-05,9e-05,0.03831,1e-05,0.02053,1e-05,0.29936,0.00046,1e-05,1e-05,6e-05,9e-05,0.00108,5e-05,0.01069,0.175,0.14947,0.0,1e-05,0.0002,1e-05,0.01773,5e-05,5e-05,5e-05,0.0,5e-05,0.00105,5e-05,0.39287,0.10759,2e-05,0.00114,0.00128,0.00021,1e-05,0.0005,0.00017,0.0001,6e-05,3e-05,0.00011
75096,1.0,4e-05,5e-05,2e-05,2e-05,1e-05,0.00025,57.90216,2e-05,0.00047,0.00033,5e-05,0.0001,0.22978,1e-05,0.09595,1e-05,5.49486,0.00073,1e-05,2e-05,6e-05,0.0178,0.23186,9e-05,0.00053,6.61253,2.13109,1e-05,1e-05,0.00033,1e-05,0.13378,6e-05,6e-05,6e-05,0.0,5e-05,0.00092,5e-05,445.57456,3.77161,3e-05,0.4023,0.26667,0.00011,3e-05,0.0006,0.02691,0.00021,0.00795,4e-05,0.00012
