@RELATION auto-sklearn_FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE NumberOfInstances NUMERIC
@ATTRIBUTE LogNumberOfInstances NUMERIC
@ATTRIBUTE NumberOfClasses NUMERIC
@ATTRIBUTE NumberOfFeatures NUMERIC
@ATTRIBUTE LogNumberOfFeatures NUMERIC
@ATTRIBUTE MissingValues NUMERIC
@ATTRIBUTE NumberOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE PercentageOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE PercentageOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfMissingValues NUMERIC
@ATTRIBUTE PercentageOfMissingValues NUMERIC
@ATTRIBUTE NumberOfNumericFeatures NUMERIC
@ATTRIBUTE NumberOfCategoricalFeatures NUMERIC
@ATTRIBUTE RatioNumericalToNominal NUMERIC
@ATTRIBUTE RatioNominalToNumerical NUMERIC
@ATTRIBUTE DatasetRatio NUMERIC
@ATTRIBUTE LogDatasetRatio NUMERIC
@ATTRIBUTE InverseDatasetRatio NUMERIC
@ATTRIBUTE LogInverseDatasetRatio NUMERIC
@ATTRIBUTE ClassOccurences NUMERIC
@ATTRIBUTE ClassProbabilityMin NUMERIC
@ATTRIBUTE ClassProbabilityMax NUMERIC
@ATTRIBUTE ClassProbabilityMean NUMERIC
@ATTRIBUTE ClassProbabilitySTD NUMERIC
@ATTRIBUTE NumSymbols NUMERIC
@ATTRIBUTE SymbolsMin NUMERIC
@ATTRIBUTE SymbolsMax NUMERIC
@ATTRIBUTE SymbolsMean NUMERIC
@ATTRIBUTE SymbolsSTD NUMERIC
@ATTRIBUTE SymbolsSum NUMERIC
@ATTRIBUTE Kurtosisses NUMERIC
@ATTRIBUTE KurtosisMin NUMERIC
@ATTRIBUTE KurtosisMax NUMERIC
@ATTRIBUTE KurtosisMean NUMERIC
@ATTRIBUTE KurtosisSTD NUMERIC
@ATTRIBUTE Skewnesses NUMERIC
@ATTRIBUTE SkewnessMin NUMERIC
@ATTRIBUTE SkewnessMax NUMERIC
@ATTRIBUTE SkewnessMean NUMERIC
@ATTRIBUTE SkewnessSTD NUMERIC
@ATTRIBUTE ClassEntropy NUMERIC
@ATTRIBUTE LandmarkRandomNodeLearner NUMERIC

@DATA
75192,1.0,2e-05,1e-05,0.00017,1e-05,1e-05,0.00289,0.00254,1e-05,0.00026,2e-05,0.00012,1e-05,2e-05,2e-05,6e-05,0.0001,3e-05,1e-05,6e-05,1e-05,0.00023,6e-05,1e-05,5e-05,0.00012,0.00061,0.0,1e-05,0.00015,0.00032,0.00012,0.00051,5e-05,7e-05,0.00014,0.00025,0.00054,7e-05,0.00011,0.00012,0.00023,0.00157,0.01319
266,1.0,2e-05,1e-05,0.00016,2e-05,1e-05,0.00187,0.00153,1e-05,0.00023,2e-05,0.00014,1e-05,2e-05,2e-05,8e-05,8e-05,3e-05,1e-05,6e-05,1e-05,0.00022,6e-05,1e-05,4e-05,0.00011,0.00056,0.0,0.0,0.00013,0.0003,0.00012,0.0005,6e-05,6e-05,0.00013,0.00026,0.0005,7e-05,0.00011,0.0001,0.00022,0.00097,0.01067
75182,1.0,2e-05,1e-05,0.00052,1e-05,1e-05,0.01277,0.01171,1e-05,0.00084,1e-05,0.00025,1e-05,4e-05,2e-05,7e-05,8e-05,3e-05,1e-05,5e-05,1e-05,0.00022,5e-05,1e-05,4e-05,0.00011,0.0006,0.0,0.0,0.00014,0.00033,0.00012,0.00042,6e-05,6e-05,0.00012,0.00018,0.0005,6e-05,0.00012,0.00011,0.00021,0.00706,0.02968
75142,1.0,2e-05,1e-05,0.00092,1e-05,1e-05,0.02009,0.01817,1e-05,0.00147,1e-05,0.00048,0.0,2e-05,2e-05,5e-05,7e-05,2e-05,1e-05,7e-05,1e-05,0.00022,5e-05,1e-05,4e-05,0.00013,0.00057,0.0,0.0,0.00015,0.00029,0.00012,0.00043,6e-05,7e-05,0.00012,0.00019,0.00051,6e-05,0.00011,0.00011,0.00024,0.0126,0.03294
75159,1.0,1e-05,1e-05,8e-05,1e-05,1e-05,0.00079,0.00058,1e-05,0.00015,1e-05,9e-05,0.0,2e-05,2e-05,4e-05,6e-05,2e-05,1e-05,5e-05,1e-05,0.00017,5e-05,1e-05,3e-05,8e-05,0.00049,0.0,0.0,0.0001,0.00028,0.0001,0.00043,6e-05,7e-05,0.00011,0.00019,0.00056,8e-05,0.00015,0.0001,0.00022,0.00053,0.00902
75171,1.0,2e-05,1e-05,0.00029,1e-05,1e-05,0.00576,0.00523,1e-05,0.00042,1e-05,0.00013,1e-05,2e-05,2e-05,6e-05,8e-05,3e-05,1e-05,6e-05,1e-05,0.00024,6e-05,1e-05,5e-05,0.00012,0.0006,0.0,0.0,0.00014,0.00032,0.00014,0.00041,5e-05,7e-05,0.00011,0.00018,0.00052,6e-05,0.00011,0.00011,0.00023,0.0034,0.02416
75240,1.0,1e-05,1e-05,0.00018,1e-05,1e-05,0.00356,0.00271,1e-05,0.0005,2e-05,0.00038,0.0,2e-05,1e-05,4e-05,6e-05,3e-05,1e-05,5e-05,1e-05,0.00016,5e-05,1e-05,3e-05,8e-05,0.00043,0.0,0.0,0.0001,0.00022,0.0001,0.00061,0.00012,0.00011,0.00014,0.00024,0.00061,8e-05,0.00012,0.00014,0.00026,0.00154,0.05213
75096,1.0,2e-05,1e-05,0.01894,2e-05,1e-05,0.35293,0.31598,1e-05,0.02777,1e-05,0.0092,0.0,2e-05,1e-05,4e-05,7e-05,2e-05,1e-05,5e-05,2e-05,0.00026,7e-05,1e-05,3e-05,0.00015,0.00078,0.0,0.0,0.00016,0.0005,0.00011,0.00052,6e-05,7e-05,0.00017,0.00023,0.00067,6e-05,0.00014,0.00014,0.00034,0.21714,0.54704
75154,1.0,2e-05,1e-05,0.00017,1e-05,1e-05,0.00162,0.00109,2e-05,0.00034,4e-05,0.00025,1e-05,3e-05,2e-05,6e-05,9e-05,4e-05,1e-05,7e-05,1e-05,0.0003,9e-05,1e-05,6e-05,0.00014,0.00057,0.0,0.0,0.00014,0.0003,0.00013,0.00054,8e-05,9e-05,0.00014,0.00023,0.00051,8e-05,0.00011,0.00011,0.00022,0.00088,0.01204
75114,1.0,2e-05,2e-05,0.00013,3e-05,2e-05,0.04873,0.01728,0.00083,0.01783,0.00089,0.01535,1e-05,0.00053,0.00052,0.00106,0.00115,0.00139,1e-05,0.00154,1e-05,0.00017,4e-05,1e-05,4e-05,9e-05,0.00046,0.0,0.0,0.0001,0.00025,0.00011,0.00315,0.00069,0.00069,0.0008,0.00097,0.00297,0.00062,0.00068,0.00074,0.00093,0.00061,0.15392
