@RELATION auto-sklearn_FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE Skewnesses NUMERIC
@ATTRIBUTE NumberOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE SymbolsSTD NUMERIC
@ATTRIBUTE LogInverseDatasetRatio NUMERIC
@ATTRIBUTE PCASkewnessFirstPC NUMERIC
@ATTRIBUTE LandmarkDecisionNodeLearner NUMERIC
@ATTRIBUTE LandmarkLDA NUMERIC
@ATTRIBUTE Kurtosisses NUMERIC
@ATTRIBUTE MissingValues NUMERIC
@ATTRIBUTE PCAKurtosisFirstPC NUMERIC
@ATTRIBUTE NumberOfCategoricalFeatures NUMERIC
@ATTRIBUTE ClassOccurences NUMERIC
@ATTRIBUTE RatioNominalToNumerical NUMERIC
@ATTRIBUTE ClassProbabilityMax NUMERIC
@ATTRIBUTE ClassEntropy NUMERIC
@ATTRIBUTE ClassProbabilityMin NUMERIC
@ATTRIBUTE PercentageOfMissingValues NUMERIC
@ATTRIBUTE KurtosisMin NUMERIC
@ATTRIBUTE KurtosisMax NUMERIC
@ATTRIBUTE InverseDatasetRatio NUMERIC
@ATTRIBUTE SkewnessMin NUMERIC
@ATTRIBUTE SymbolsMin NUMERIC
@ATTRIBUTE SkewnessSTD NUMERIC
@ATTRIBUTE SkewnessMax NUMERIC
@ATTRIBUTE SymbolsMean NUMERIC
@ATTRIBUTE LandmarkRandomNodeLearner NUMERIC
@ATTRIBUTE SymbolsMax NUMERIC
@ATTRIBUTE NumSymbols NUMERIC
@ATTRIBUTE LandmarkNaiveBayes NUMERIC
@ATTRIBUTE NumberOfNumericFeatures NUMERIC
@ATTRIBUTE PCA NUMERIC
@ATTRIBUTE KurtosisMean NUMERIC
@ATTRIBUTE ClassProbabilitySTD NUMERIC
@ATTRIBUTE NumberOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE LogNumberOfInstances NUMERIC
@ATTRIBUTE KurtosisSTD NUMERIC
@ATTRIBUTE LandmarkDecisionTree NUMERIC
@ATTRIBUTE NumberOfInstances NUMERIC
@ATTRIBUTE LogDatasetRatio NUMERIC
@ATTRIBUTE SymbolsSum NUMERIC
@ATTRIBUTE PercentageOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfMissingValues NUMERIC
@ATTRIBUTE PercentageOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE Landmark1NN NUMERIC
@ATTRIBUTE PCAFractionOfComponentsFor95PercentVariance NUMERIC
@ATTRIBUTE NumberOfClasses NUMERIC
@ATTRIBUTE LogNumberOfFeatures NUMERIC
@ATTRIBUTE SkewnessMean NUMERIC
@ATTRIBUTE NumberOfFeatures NUMERIC
@ATTRIBUTE DatasetRatio NUMERIC
@ATTRIBUTE RatioNumericalToNominal NUMERIC
@ATTRIBUTE ClassProbabilityMean NUMERIC

@DATA
2120,1.0,0.00061,0.00169,0.00065,2e-05,0.04474,0.08877,0.53819,0.00046,0.00254,0.02526,2e-05,0.00034,0.00011,1e-05,0.00574,6e-05,1e-05,5e-05,5e-05,7e-05,5e-05,1e-05,0.00039,6e-05,0.00026,0.02733,1e-05,0.00099,0.12891,3e-05,0.07005,0.00011,0.00021,0.00056,1e-05,0.00025,0.78777,1e-05,1e-05,7e-05,2e-05,0.00034,3e-05,1.35102,5e-05,0.00018,1e-05,0.00012,2e-05,4e-05,7e-05,5e-05
2122,1.0,0.00051,0.00613,0.00057,2e-05,0.06877,0.40703,2.10666,0.00043,0.00686,0.02832,2e-05,0.0003,9e-05,1e-05,0.00579,4e-05,1e-05,4e-05,5e-05,5e-05,5e-05,0.0,0.0003,5e-05,0.00025,0.2282,0.0,0.00088,0.68412,2e-05,0.09715,0.00011,0.00019,0.00063,1e-05,0.00023,2.7541,1e-05,1e-05,6e-05,1e-05,0.00014,2e-05,82.75009,5e-05,0.00064,1e-05,0.00011,2e-05,3e-05,6e-05,5e-05
2123,1.0,0.00055,0.00037,0.00231,1e-05,0.00586,0.07868,0.20326,0.00046,0.00051,0.00234,2e-05,0.0002,8e-05,1e-05,0.0005,4e-05,1e-05,4e-05,5e-05,4e-05,5e-05,0.0,0.00033,5e-05,0.00047,0.03788,0.0,0.00284,0.06438,2e-05,0.00825,0.00011,0.0001,0.00013,1e-05,0.00025,0.2846,1e-05,1e-05,6e-05,1e-05,5e-05,2e-05,0.13009,4e-05,8e-05,1e-05,0.00011,1e-05,3e-05,6e-05,5e-05
2350,1.0,0.0008,0.76706,0.00083,3e-05,7e-05,1e-05,0.0,0.00063,0.81845,1e-05,5e-05,0.00039,0.00018,2e-05,0.02503,5e-05,1e-05,8e-05,9e-05,0.00021,9e-05,1e-05,0.00044,9e-05,0.00027,2e-05,1e-05,0.00125,1e-05,5e-05,9e-05,0.00015,0.00026,0.04508,1e-05,0.00031,0.0,4e-05,2e-05,0.00012,7e-05,0.00648,0.0001,2.43616,1e-05,0.00182,1e-05,0.00019,4e-05,0.00015,0.00013,6e-05
3043,1.0,0.00055,0.00098,0.00061,2e-05,0.0028,0.05945,0.57683,0.00048,0.00131,0.00233,2e-05,0.00031,0.00011,2e-05,0.00113,0.0001,1e-05,4e-05,6e-05,7e-05,7e-05,2e-05,0.00031,7e-05,0.00027,0.04173,0.0,0.00098,0.08173,2e-05,0.00519,0.00012,0.00014,0.00027,1e-05,0.00027,0.14239,1e-05,1e-05,8e-05,2e-05,0.00011,2e-05,1.06327,6e-05,0.00011,1e-05,0.00011,1e-05,4e-05,7e-05,6e-05
75090,1.0,0.00066,0.00294,0.01394,2e-05,0.01009,4.31446,42.59303,0.00056,0.0198,0.01607,5e-05,0.00026,0.00014,1e-05,0.00102,6e-05,1e-05,7e-05,8e-05,0.00015,7e-05,1e-05,0.00036,9e-05,0.00091,0.19686,1e-05,0.01493,1.05945,5e-05,0.02636,0.00014,0.00014,0.01529,1e-05,0.00027,11.82404,1e-05,1e-05,7e-05,5e-05,0.00169,6e-05,24.45248,0.0002,0.00014,1e-05,0.00015,2e-05,0.00011,0.00011,5e-05
75092,1.0,0.00051,0.00044,0.01359,1e-05,0.01587,0.18829,0.19765,0.00045,0.00069,0.00462,2e-05,0.00034,0.00011,1e-05,0.00074,0.00011,1e-05,5e-05,4e-05,7e-05,5e-05,1e-05,0.0003,5e-05,0.00254,0.06904,1e-05,0.01624,0.07917,2e-05,0.02053,0.00011,0.00017,0.00021,1e-05,0.00025,0.4099,1e-05,2e-05,0.0001,2e-05,9e-05,2e-05,0.35284,4e-05,9e-05,1e-05,0.00012,1e-05,5e-05,7e-05,5e-05
75093,1.0,0.00055,0.00253,0.00052,2e-05,0.01436,0.26563,0.58539,0.00045,0.00319,0.00362,3e-05,0.00035,0.00011,1e-05,0.00247,8e-05,1e-05,4e-05,5e-05,6e-05,5e-05,1e-05,0.00034,5e-05,0.00018,0.08264,1e-05,0.00078,0.13013,2e-05,0.01801,0.00011,0.0002,0.02067,1e-05,0.00025,2.80266,1e-05,1e-05,7e-05,3e-05,0.00022,0.02019,3.39548,4e-05,0.00018,3e-05,0.00011,4e-05,3e-05,8e-05,5e-05
75095,1.0,0.00046,0.00108,0.0005,1e-05,0.02053,0.29936,0.175,0.01069,0.00128,0.01773,2e-05,0.0002,9e-05,1e-05,0.00114,5e-05,1e-05,4e-05,5e-05,5e-05,5e-05,0.0,0.00026,5e-05,0.00048,0.14947,0.0,0.00105,0.10759,2e-05,0.03831,0.00021,0.0001,0.00017,1e-05,0.01038,0.38623,1e-05,1e-05,5e-05,1e-05,6e-05,2e-05,0.39287,5e-05,9e-05,1e-05,0.00011,1e-05,3e-05,6e-05,5e-05
75096,1.0,0.00073,0.23186,0.0006,3e-05,0.09595,5.49486,6.61253,0.00053,0.26667,0.13378,2e-05,0.00033,0.0001,1e-05,0.4023,5e-05,1e-05,4e-05,5e-05,6e-05,5e-05,0.0,0.00047,9e-05,0.00025,2.13109,1e-05,0.00092,3.77161,2e-05,0.22978,0.00011,0.00021,0.02691,1e-05,0.00033,57.90216,2e-05,1e-05,6e-05,1e-05,0.00795,3e-05,445.57456,5e-05,0.0178,1e-05,0.00012,2e-05,4e-05,6e-05,6e-05
75097,1.0,0.00272,0.02334,0.00242,2e-05,5e-05,1e-05,0.0,0.00265,0.02895,1e-05,2e-05,0.00027,9e-05,1e-05,0.02276,5e-05,1e-05,0.00051,0.00051,5e-05,0.00052,1e-05,0.00106,0.00052,0.00052,2e-05,0.0,0.00301,1e-05,2e-05,7e-05,0.00064,0.00016,0.00539,1e-05,0.001,0.0,1e-05,1e-05,6e-05,1e-05,0.00027,2e-05,28.07342,1e-05,0.00041,1e-05,0.00062,2e-05,3e-05,6e-05,5e-05
75098,1.0,0.00091,0.05863,0.00132,3e-05,0.21691,12.90498,166.17316,0.00092,0.16434,0.17822,5e-05,0.00052,0.0002,2e-05,0.01518,0.00012,1e-05,8e-05,9e-05,0.00021,8e-05,2e-05,0.00057,9e-05,0.00041,1.08533,1e-05,0.00191,9.17265,5e-05,0.39543,0.00018,0.00031,0.05267,1e-05,0.00057,192.51527,2e-05,1e-05,0.00014,5e-05,0.05318,8e-05,3320.38865,0.0003,0.00168,1e-05,0.00017,2e-05,0.00011,0.00012,7e-05
75099,1.0,0.00053,0.00056,0.0063,1e-05,0.00618,0.07019,0.17957,0.00046,0.00077,0.00146,2e-05,0.00023,9e-05,1e-05,0.00066,4e-05,1e-05,5e-05,5e-05,5e-05,4e-05,0.0,0.00033,5e-05,0.00037,0.03441,0.0,0.00674,0.07546,2e-05,0.00768,0.00011,0.00013,0.00019,1e-05,0.00025,0.29471,1e-05,1e-05,5e-05,1e-05,6e-05,2e-05,0.14042,4e-05,9e-05,1e-05,0.00011,1e-05,3e-05,6e-05,5e-05
