@RELATION auto-sklearn_FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE NumberOfInstances NUMERIC
@ATTRIBUTE LogNumberOfInstances NUMERIC
@ATTRIBUTE NumberOfClasses NUMERIC
@ATTRIBUTE NumberOfFeatures NUMERIC
@ATTRIBUTE LogNumberOfFeatures NUMERIC
@ATTRIBUTE MissingValues NUMERIC
@ATTRIBUTE NumberOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE PercentageOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE PercentageOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfMissingValues NUMERIC
@ATTRIBUTE PercentageOfMissingValues NUMERIC
@ATTRIBUTE NumberOfNumericFeatures NUMERIC
@ATTRIBUTE NumberOfCategoricalFeatures NUMERIC
@ATTRIBUTE RatioNumericalToNominal NUMERIC
@ATTRIBUTE RatioNominalToNumerical NUMERIC
@ATTRIBUTE DatasetRatio NUMERIC
@ATTRIBUTE LogDatasetRatio NUMERIC
@ATTRIBUTE InverseDatasetRatio NUMERIC
@ATTRIBUTE LogInverseDatasetRatio NUMERIC
@ATTRIBUTE ClassOccurences NUMERIC
@ATTRIBUTE ClassProbabilityMin NUMERIC
@ATTRIBUTE ClassProbabilityMax NUMERIC
@ATTRIBUTE ClassProbabilityMean NUMERIC
@ATTRIBUTE ClassProbabilitySTD NUMERIC
@ATTRIBUTE NumSymbols NUMERIC
@ATTRIBUTE SymbolsMin NUMERIC
@ATTRIBUTE SymbolsMax NUMERIC
@ATTRIBUTE SymbolsMean NUMERIC
@ATTRIBUTE SymbolsSTD NUMERIC
@ATTRIBUTE SymbolsSum NUMERIC
@ATTRIBUTE Kurtosisses NUMERIC
@ATTRIBUTE KurtosisMin NUMERIC
@ATTRIBUTE KurtosisMax NUMERIC
@ATTRIBUTE KurtosisMean NUMERIC
@ATTRIBUTE KurtosisSTD NUMERIC
@ATTRIBUTE Skewnesses NUMERIC
@ATTRIBUTE SkewnessMin NUMERIC
@ATTRIBUTE SkewnessMax NUMERIC
@ATTRIBUTE SkewnessMean NUMERIC
@ATTRIBUTE SkewnessSTD NUMERIC
@ATTRIBUTE ClassEntropy NUMERIC

@DATA
arsenic-male-bladder,1.0,1e-05,1e-05,4e-05,1e-05,1e-05,0.00041,0.00034,1e-05,8e-05,1e-05,3e-05,0.0,2e-05,2e-05,5e-05,6e-05,2e-05,1e-05,3e-05,1e-05,0.00015,2e-05,1e-05,4e-05,9e-05,0.00021,0.0,1e-05,5e-05,0.00011,4e-05,0.00038,6e-05,7e-05,8e-05,0.00017,0.00039,6e-05,7e-05,9e-05,0.00017,0.00029
arsenic-male-lung,1.0,1e-05,1e-05,5e-05,1e-05,1e-05,0.00052,0.00041,1e-05,0.00011,2e-05,4e-05,1e-05,3e-05,3e-05,7e-05,9e-05,3e-05,1e-05,4e-05,1e-05,0.0002,2e-05,1e-05,5e-05,0.00012,0.00029,1e-05,1e-05,7e-05,0.00014,6e-05,0.00039,6e-05,7e-05,9e-05,0.00016,0.0004,7e-05,7e-05,9e-05,0.00018,0.00038
artificial-characters,1.0,1e-05,1e-05,0.00024,1e-05,1e-05,0.00414,0.00373,1e-05,0.00034,1e-05,0.0001,0.0,3e-05,2e-05,5e-05,6e-05,2e-05,1e-05,3e-05,1e-05,0.00014,1e-05,1e-05,4e-05,8e-05,0.0004,0.0,0.0,0.00012,0.00021,6e-05,0.00039,6e-05,7e-05,9e-05,0.00017,0.00039,7e-05,7e-05,9e-05,0.00017,0.00246
autouniv-au1-1000,1.0,1e-05,1e-05,6e-05,1e-05,1e-05,0.00074,0.00057,1e-05,0.00014,1e-05,6e-05,1e-05,3e-05,3e-05,6e-05,8e-05,3e-05,1e-05,3e-05,1e-05,0.00018,2e-05,1e-05,5e-05,0.00011,0.00051,0.0,0.0,0.00015,0.00027,8e-05,0.00039,6e-05,7e-05,9e-05,0.00017,0.00042,7e-05,7e-05,9e-05,0.00019,0.00045
autouniv-au6-750,1.0,1e-05,0.0,3e-05,1e-05,0.0,0.00035,0.00025,1e-05,8e-05,1e-05,4e-05,0.0,2e-05,2e-05,3e-05,4e-05,2e-05,0.0,2e-05,1e-05,9e-05,1e-05,0.0,3e-05,5e-05,0.00014,0.0,0.0,4e-05,7e-05,3e-05,0.00028,5e-05,5e-05,6e-05,0.00012,0.00029,5e-05,5e-05,7e-05,0.00013,0.00021
autouniv-au7-1100,1.0,1e-05,0.0,4e-05,1e-05,0.0,0.0004,0.00032,1e-05,7e-05,1e-05,3e-05,0.0,1e-05,1e-05,3e-05,4e-05,1e-05,1e-05,2e-05,1e-05,0.0001,1e-05,0.0,3e-05,5e-05,0.00014,0.0,0.0,4e-05,7e-05,3e-05,0.00028,5e-05,5e-05,6e-05,0.00012,0.00029,5e-05,5e-05,7e-05,0.00012,0.0003
autouniv-au7-700,1.0,1e-05,1e-05,3e-05,1e-05,1e-05,0.0003,0.00022,1e-05,7e-05,1e-05,2e-05,0.0,1e-05,1e-05,3e-05,4e-05,2e-05,1e-05,2e-05,1e-05,0.00013,1e-05,0.0,3e-05,9e-05,0.00015,1e-05,1e-05,4e-05,7e-05,3e-05,0.00027,5e-05,5e-05,6e-05,0.00012,0.00031,5e-05,6e-05,7e-05,0.00013,0.0002
bachchoralharmony,1.0,1e-05,1e-05,0.00019,1e-05,1e-05,0.00279,0.0024,1e-05,0.00029,1e-05,0.00012,0.0,2e-05,2e-05,5e-05,6e-05,2e-05,1e-05,3e-05,1e-05,0.00018,2e-05,1e-05,5e-05,0.0001,0.00023,1e-05,1e-05,6e-05,0.00011,4e-05,0.00029,5e-05,5e-05,7e-05,0.00012,0.00033,8e-05,5e-05,7e-05,0.00013,0.00166
balance-scale,1.0,1e-05,1e-05,6e-05,1e-05,1e-05,0.00055,0.00042,1e-05,0.0001,2e-05,6e-05,1e-05,3e-05,3e-05,6e-05,8e-05,3e-05,1e-05,4e-05,1e-05,0.00021,2e-05,1e-05,6e-05,0.00012,0.00057,0.0,1e-05,0.00017,0.0003,8e-05,0.00041,7e-05,7e-05,9e-05,0.00018,0.00043,7e-05,8e-05,0.0001,0.00019,0.00041
bank32nh,1.0,1e-05,1e-05,9e-05,1e-05,1e-05,0.00283,0.00232,1e-05,0.00032,1e-05,0.00021,0.0,2e-05,1e-05,3e-05,5e-05,2e-05,1e-05,2e-05,1e-05,0.00011,1e-05,0.0,3e-05,6e-05,0.00031,0.0,0.0,9e-05,0.00017,4e-05,0.0003,6e-05,5e-05,6e-05,0.00012,0.00033,6e-05,6e-05,7e-05,0.00014,0.00142
bank8fm,1.0,1e-05,0.0,9e-05,1e-05,1e-05,0.00226,0.00203,1e-05,0.00019,1e-05,6e-05,0.0,2e-05,1e-05,3e-05,4e-05,1e-05,0.0,2e-05,1e-05,0.0001,1e-05,0.0,3e-05,6e-05,0.00036,0.0,0.0,0.00011,0.0002,4e-05,0.00027,5e-05,5e-05,6e-05,0.00012,0.00028,5e-05,5e-05,6e-05,0.00012,0.00145
banknote-authentication,1.0,1e-05,1e-05,4e-05,1e-05,1e-05,0.00046,0.00039,1e-05,7e-05,1e-05,2e-05,0.0,1e-05,1e-05,3e-05,5e-05,2e-05,1e-05,3e-05,1e-05,0.00013,3e-05,1e-05,3e-05,7e-05,0.00033,0.0,0.0,0.0001,0.00019,4e-05,0.00028,5e-05,5e-05,6e-05,0.00012,0.00029,5e-05,5e-05,6e-05,0.00013,0.00032
baseball,1.0,1e-05,1e-05,6e-05,1e-05,1e-05,0.00088,0.00069,1e-05,0.00016,2e-05,6e-05,1e-05,3e-05,2e-05,6e-05,8e-05,3e-05,1e-05,4e-05,1e-05,0.00019,4e-05,1e-05,4e-05,0.0001,0.00025,1e-05,1e-05,6e-05,0.00012,5e-05,0.00038,6e-05,7e-05,9e-05,0.00016,0.00041,7e-05,7e-05,9e-05,0.00018,0.00057
bioresponse,1.0,1e-05,1e-05,6e-05,1e-05,1e-05,0.01472,0.00554,6e-05,0.00449,6e-05,0.00482,0.0,7e-05,7e-05,0.00014,0.00015,0.00012,1e-05,0.00014,1e-05,0.00011,1e-05,0.0,3e-05,6e-05,0.00033,0.0,0.0,9e-05,0.00019,5e-05,0.00059,0.00011,0.00012,0.00013,0.00022,0.0006,0.00011,0.00012,0.00014,0.00022,0.00071
boston_corrected,1.0,1e-05,1e-05,4e-05,1e-05,1e-05,0.00025,0.00018,1e-05,6e-05,1e-05,3e-05,0.0,1e-05,1e-05,3e-05,4e-05,2e-05,0.0,2e-05,1e-05,0.00011,1e-05,0.0,3e-05,6e-05,0.00016,0.0,1e-05,4e-05,8e-05,3e-05,0.00032,5e-05,7e-05,7e-05,0.00013,0.0003,5e-05,6e-05,7e-05,0.00013,0.00018
breast-w,1.0,1e-05,1e-05,6e-05,1e-05,1e-05,0.00059,0.00045,1e-05,0.00012,2e-05,4e-05,1e-05,3e-05,3e-05,7e-05,9e-05,3e-05,1e-05,4e-05,1e-05,0.00022,2e-05,1e-05,5e-05,0.00013,0.00059,0.0,1e-05,0.00018,0.00032,8e-05,0.00041,7e-05,7e-05,9e-05,0.00018,0.00043,7e-05,8e-05,0.0001,0.00018,0.00041
cardiotocography,1.0,1e-05,0.0,5e-05,1e-05,1e-05,0.00088,0.00069,1e-05,0.00014,1e-05,7e-05,0.0,2e-05,1e-05,3e-05,4e-05,2e-05,1e-05,2e-05,1e-05,0.00011,1e-05,0.0,3e-05,6e-05,0.00028,0.0,0.0,9e-05,0.00015,4e-05,0.0003,5e-05,5e-05,7e-05,0.00013,0.00029,5e-05,5e-05,7e-05,0.00013,0.00042
churn,1.0,1e-05,0.0,6e-05,1e-05,1e-05,0.0016,0.00135,1e-05,0.00018,1e-05,9e-05,0.0,1e-05,1e-05,3e-05,4e-05,2e-05,0.0,2e-05,1e-05,0.0001,1e-05,0.0,3e-05,6e-05,0.00014,0.0,0.0,4e-05,7e-05,3e-05,0.00029,5e-05,5e-05,8e-05,0.00012,0.00029,5e-05,5e-05,7e-05,0.00012,0.00088
cifar_10,1.0,1e-05,1e-05,0.00093,1e-05,1e-05,0.38992,0.14443,0.00012,0.11267,0.00014,0.13309,0.0,0.00011,0.00011,0.00022,0.00023,0.0002,1e-05,0.00022,1e-05,0.00012,2e-05,1e-05,3e-05,7e-05,0.00035,0.0,0.0,9e-05,0.0002,5e-05,0.00081,0.00017,0.00017,0.00018,0.00029,0.00094,0.00018,0.00018,0.00019,0.00039,0.0097
cjs,1.0,1e-05,1e-05,0.00015,2e-05,1e-05,0.00222,0.00173,2e-05,0.00035,2e-05,0.00019,1e-05,4e-05,3e-05,8e-05,0.0001,4e-05,1e-05,5e-05,2e-05,0.00024,3e-05,1e-05,7e-05,0.00013,0.00036,1e-05,1e-05,8e-05,0.00017,9e-05,0.00041,7e-05,8e-05,9e-05,0.00017,0.00047,8e-05,8e-05,0.00011,0.0002,0.00123
climate-model-simulation-crashes,1.0,1e-05,1e-05,5e-05,1e-05,1e-05,0.00048,0.00035,1e-05,0.00012,2e-05,4e-05,1e-05,3e-05,3e-05,6e-05,8e-05,3e-05,1e-05,4e-05,1e-05,0.00018,2e-05,1e-05,5e-05,0.00011,0.00052,0.0,0.0,0.00016,0.00028,7e-05,0.00039,6e-05,7e-05,9e-05,0.00017,0.0004,6e-05,7e-05,9e-05,0.00017,0.00032
cmc,1.0,1e-05,0.0,4e-05,1e-05,0.0,0.00051,0.00042,1e-05,7e-05,1e-05,3e-05,0.0,1e-05,1e-05,3e-05,4e-05,1e-05,0.0,2e-05,1e-05,0.00011,1e-05,0.0,2e-05,7e-05,0.00015,0.0,0.0,4e-05,7e-05,3e-05,0.00028,5e-05,5e-05,6e-05,0.00012,0.00029,5e-05,5e-05,7e-05,0.00013,0.00035
colleges_aaup,1.0,1e-05,0.0,5e-05,1e-05,0.0,0.00043,0.00034,1e-05,7e-05,1e-05,3e-05,0.0,2e-05,1e-05,3e-05,4e-05,1e-05,0.0,2e-05,1e-05,9e-05,1e-05,0.0,3e-05,5e-05,0.00014,0.0,1e-05,3e-05,7e-05,3e-05,0.00028,5e-05,5e-05,6e-05,0.00012,0.00029,5e-05,5e-05,7e-05,0.00013,0.00028
colleges_usnews,1.0,1e-05,1e-05,6e-05,1e-05,1e-05,0.0009,0.00068,1e-05,0.00018,2e-05,8e-05,1e-05,3e-05,3e-05,7e-05,9e-05,3e-05,1e-05,3e-05,1e-05,0.00016,2e-05,1e-05,4e-05,9e-05,0.00023,1e-05,1e-05,6e-05,0.00011,5e-05,0.00039,6e-05,7e-05,9e-05,0.00017,0.00041,7e-05,7e-05,0.0001,0.00017,0.0005
collins,1.0,1e-05,0.0,4e-05,1e-05,0.0,0.00038,0.00029,1e-05,8e-05,1e-05,3e-05,0.0,1e-05,1e-05,3e-05,4e-05,1e-05,0.0,2e-05,1e-05,0.0001,1e-05,1e-05,3e-05,6e-05,0.00028,0.0,0.0,9e-05,0.00015,4e-05,0.00029,6e-05,5e-05,6e-05,0.00012,0.0003,5e-05,5e-05,7e-05,0.00013,0.00025
compas-two-years,1.0,1e-05,1e-05,0.00015,1e-05,1e-05,0.00285,0.00247,1e-05,0.0003,2e-05,0.00012,1e-05,3e-05,3e-05,6e-05,8e-05,3e-05,1e-05,4e-05,1e-05,0.00019,2e-05,1e-05,5e-05,0.00011,0.0003,1e-05,1e-05,7e-05,0.00015,6e-05,0.0004,6e-05,7e-05,0.00011,0.00016,0.0004,7e-05,7e-05,9e-05,0.00017,0.00192
cpu_act,1.0,1e-05,0.0,9e-05,1e-05,0.0,0.00279,0.00232,1e-05,0.00032,1e-05,0.00018,0.0,2e-05,2e-05,3e-05,4e-05,2e-05,1e-05,2e-05,1e-05,0.0001,1e-05,0.0,3e-05,6e-05,0.0003,0.0,0.0,0.0001,0.00016,4e-05,0.00031,6e-05,5e-05,7e-05,0.00013,0.00031,5e-05,6e-05,8e-05,0.00013,0.00148
cpu_small,1.0,1e-05,0.0,9e-05,1e-05,1e-05,0.00245,0.00215,1e-05,0.00024,1e-05,9e-05,0.0,1e-05,1e-05,3e-05,4e-05,2e-05,1e-05,2e-05,1e-05,0.0001,1e-05,0.0,3e-05,6e-05,0.00028,0.0,0.0,9e-05,0.00015,4e-05,0.00033,6e-05,9e-05,6e-05,0.00012,0.0003,6e-05,5e-05,7e-05,0.00013,0.00145
cylinder-bands,1.0,1e-05,1e-05,4e-05,1e-05,1e-05,0.0004,0.00027,1e-05,0.00011,1e-05,4e-05,0.0,2e-05,2e-05,5e-05,6e-05,2e-05,1e-05,4e-05,1e-05,0.00013,1e-05,1e-05,4e-05,8e-05,0.00022,1e-05,1e-05,6e-05,0.0001,4e-05,0.00041,7e-05,8e-05,9e-05,0.00017,0.00041,7e-05,7e-05,9e-05,0.00018,0.00024
delta_ailerons,1.0,1e-05,0.0,8e-05,1e-05,1e-05,0.00216,0.00196,1e-05,0.00017,1e-05,5e-05,0.0,1e-05,1e-05,5e-05,4e-05,1e-05,0.0,2e-05,1e-05,0.0001,1e-05,0.0,3e-05,6e-05,0.00037,0.0,0.0,8e-05,0.00022,6e-05,0.0003,5e-05,5e-05,7e-05,0.00012,0.00029,5e-05,5e-05,7e-05,0.00013,0.00127
delta_elevators,1.0,1e-05,1e-05,0.0002,1e-05,1e-05,0.00528,0.00478,1e-05,0.00041,2e-05,0.00012,1e-05,3e-05,3e-05,6e-05,9e-05,3e-05,1e-05,4e-05,1e-05,0.0002,2e-05,1e-05,5e-05,0.00012,0.00066,1e-05,1e-05,0.00018,0.00038,0.0001,0.00039,6e-05,7e-05,9e-05,0.00016,0.00041,7e-05,7e-05,0.0001,0.00017,0.00342
devnagari-script,1.0,1e-05,1e-05,0.00191,1e-05,1e-05,0.21771,0.09273,4e-05,0.05991,5e-05,0.06515,0.0,5e-05,5e-05,0.0001,0.00011,9e-05,1e-05,0.00013,1e-05,0.00014,2e-05,2e-05,3e-05,7e-05,0.00035,0.0,0.0,9e-05,0.0002,5e-05,0.00047,8e-05,9e-05,0.0001,0.0002,0.00046,8e-05,9e-05,0.0001,0.00019,0.01446
diabetes,1.0,1e-05,1e-05,4e-05,1e-05,1e-05,0.00045,0.00034,1e-05,0.00011,1e-05,3e-05,0.0,2e-05,2e-05,5e-05,6e-05,2e-05,1e-05,3e-05,1e-05,0.00015,1e-05,1e-05,4e-05,9e-05,0.00041,0.0,0.0,0.00013,0.00022,6e-05,0.00039,6e-05,7e-05,0.0001,0.00016,0.00039,6e-05,7e-05,9e-05,0.00017,0.0003
diabetes130us,1.0,1e-05,0.0,0.00109,1e-05,1e-05,0.03738,0.02903,1e-05,0.00484,1e-05,0.00353,0.0,2e-05,2e-05,4e-05,5e-05,2e-05,1e-05,3e-05,1e-05,0.00011,2e-05,1e-05,3e-05,6e-05,0.00021,1e-05,1e-05,5e-05,0.0001,4e-05,0.00037,6e-05,7e-05,8e-05,0.00017,0.00037,6e-05,7e-05,8e-05,0.00017,0.01601
dna,1.0,1e-05,0.0,6e-05,1e-05,1e-05,0.00215,0.0013,1e-05,0.00048,1e-05,0.00041,0.0,2e-05,2e-05,4e-05,5e-05,2e-05,0.0,3e-05,1e-05,0.0001,1e-05,0.0,3e-05,6e-05,0.00032,4e-05,1e-05,9e-05,0.00013,5e-05,0.00035,7e-05,6e-05,8e-05,0.00014,0.00041,7e-05,8e-05,0.0001,0.00017,0.00059
dresses-sales,1.0,1e-05,1e-05,6e-05,1e-05,1e-05,0.00048,0.00036,1e-05,0.00012,2e-05,4e-05,1e-05,3e-05,3e-05,7e-05,9e-05,3e-05,1e-05,4e-05,1e-05,0.00023,3e-05,3e-05,5e-05,0.00011,0.00032,1e-05,1e-05,8e-05,0.00015,6e-05,0.00039,7e-05,7e-05,9e-05,0.00017,0.00041,7e-05,7e-05,9e-05,0.00018,0.00035
eating,1.0,1e-05,1e-05,5e-05,1e-05,1e-05,0.01586,0.00522,0.00022,0.00648,0.00029,0.00467,0.0,0.00021,0.00025,0.00045,0.00047,0.00045,1e-05,0.00057,1e-05,0.00013,4e-05,0.0,3e-05,6e-05,0.00037,0.0,0.0,9e-05,0.00022,5e-05,0.00125,0.00027,0.00028,0.00029,0.00041,0.00132,0.00027,0.00028,0.00033,0.00043,0.00038
eeg-eye-state,1.0,1e-05,1e-05,0.00029,1e-05,1e-05,0.00857,0.00751,1e-05,0.00078,1e-05,0.00032,1e-05,3e-05,3e-05,6e-05,8e-05,3e-05,1e-05,4e-05,1e-05,0.0002,2e-05,1e-05,5e-05,0.00012,0.0006,0.0,1e-05,0.00017,0.00034,8e-05,0.00038,6e-05,7e-05,8e-05,0.00016,0.0004,7e-05,7e-05,9e-05,0.00017,0.00501
electricity,1.0,1e-05,1e-05,0.0006,1e-05,1e-05,0.01792,0.01639,1e-05,0.00118,1e-05,0.00038,0.0,2e-05,2e-05,4e-05,6e-05,2e-05,1e-05,3e-05,1e-05,0.00014,2e-05,1e-05,4e-05,8e-05,0.00022,0.0,1e-05,5e-05,0.0001,5e-05,0.00038,6e-05,7e-05,9e-05,0.00016,0.00041,7e-05,7e-05,9e-05,0.00018,0.01047
elevators,1.0,1e-05,1e-05,0.00026,1e-05,1e-05,0.00866,0.00754,1e-05,0.00078,1e-05,0.00038,1e-05,3e-05,2e-05,6e-05,8e-05,3e-05,1e-05,4e-05,1e-05,0.00018,2e-05,1e-05,5e-05,0.00011,0.00055,0.0,1e-05,0.00016,0.00029,8e-05,0.00039,6e-05,7e-05,9e-05,0.00017,0.0004,7e-05,7e-05,9e-05,0.00017,0.00499
eucalyptus,1.0,1e-05,0.0,3e-05,1e-05,0.0,0.00031,0.00023,1e-05,7e-05,1e-05,4e-05,0.0,2e-05,1e-05,3e-05,4e-05,1e-05,0.0,2e-05,1e-05,9e-05,1e-05,0.0,3e-05,5e-05,0.00014,0.0,0.0,4e-05,7e-05,3e-05,0.00029,5e-05,5e-05,7e-05,0.00012,0.00034,5e-05,6e-05,0.0001,0.00014,0.00021
eye_movements,1.0,1e-05,1e-05,0.00026,1e-05,1e-05,0.00669,0.00553,1e-05,0.00077,2e-05,0.00042,1e-05,3e-05,3e-05,6e-05,8e-05,3e-05,1e-05,4e-05,1e-05,0.00019,2e-05,1e-05,5e-05,0.00011,0.00032,1e-05,1e-05,7e-05,0.00017,6e-05,0.00033,5e-05,6e-05,7e-05,0.00014,0.00031,5e-05,6e-05,7e-05,0.00013,0.0037
fars,1.0,1e-05,1e-05,0.00173,1e-05,1e-05,0.04557,0.03815,1e-05,0.00454,1e-05,0.0029,1e-05,2e-05,2e-05,6e-05,7e-05,2e-05,1e-05,3e-05,1e-05,0.00016,2e-05,1e-05,4e-05,9e-05,0.00028,1e-05,1e-05,6e-05,0.00014,5e-05,0.00038,6e-05,7e-05,7e-05,0.00018,0.00042,6e-05,7e-05,9e-05,0.0002,0.02718
