@RELATION auto-sklearn_FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE NumberOfInstances NUMERIC
@ATTRIBUTE LogNumberOfInstances NUMERIC
@ATTRIBUTE NumberOfClasses NUMERIC
@ATTRIBUTE NumberOfFeatures NUMERIC
@ATTRIBUTE LogNumberOfFeatures NUMERIC
@ATTRIBUTE MissingValues NUMERIC
@ATTRIBUTE NumberOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE PercentageOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE PercentageOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfMissingValues NUMERIC
@ATTRIBUTE PercentageOfMissingValues NUMERIC
@ATTRIBUTE NumberOfNumericFeatures NUMERIC
@ATTRIBUTE NumberOfCategoricalFeatures NUMERIC
@ATTRIBUTE RatioNumericalToNominal NUMERIC
@ATTRIBUTE RatioNominalToNumerical NUMERIC
@ATTRIBUTE DatasetRatio NUMERIC
@ATTRIBUTE LogDatasetRatio NUMERIC
@ATTRIBUTE InverseDatasetRatio NUMERIC
@ATTRIBUTE LogInverseDatasetRatio NUMERIC
@ATTRIBUTE ClassOccurences NUMERIC
@ATTRIBUTE ClassProbabilityMin NUMERIC
@ATTRIBUTE ClassProbabilityMax NUMERIC
@ATTRIBUTE ClassProbabilityMean NUMERIC
@ATTRIBUTE ClassProbabilitySTD NUMERIC
@ATTRIBUTE NumSymbols NUMERIC
@ATTRIBUTE SymbolsMin NUMERIC
@ATTRIBUTE SymbolsMax NUMERIC
@ATTRIBUTE SymbolsMean NUMERIC
@ATTRIBUTE SymbolsSTD NUMERIC
@ATTRIBUTE SymbolsSum NUMERIC
@ATTRIBUTE Kurtosisses NUMERIC
@ATTRIBUTE KurtosisMin NUMERIC
@ATTRIBUTE KurtosisMax NUMERIC
@ATTRIBUTE KurtosisMean NUMERIC
@ATTRIBUTE KurtosisSTD NUMERIC
@ATTRIBUTE Skewnesses NUMERIC
@ATTRIBUTE SkewnessMin NUMERIC
@ATTRIBUTE SkewnessMax NUMERIC
@ATTRIBUTE SkewnessMean NUMERIC
@ATTRIBUTE SkewnessSTD NUMERIC
@ATTRIBUTE ClassEntropy NUMERIC

@DATA
266,1.0,3e-05,2e-05,0.0001,1e-05,1e-05,0.00129,0.0011,1e-05,0.00014,1e-05,7e-05,1e-05,2e-05,2e-05,5e-05,8e-05,3e-05,1e-05,5e-05,1e-05,0.00028,2e-05,1e-05,8e-05,0.00016,0.00083,1e-05,1e-05,0.00027,0.00045,0.0001,0.00053,8e-05,9e-05,0.00017,0.0002,0.00043,7e-05,7e-05,9e-05,0.0002,0.00078
273,1.0,1e-05,1e-05,0.00011,1e-05,1e-05,0.00259,0.00201,1e-05,0.00038,1e-05,0.00023,0.0,2e-05,2e-05,5e-05,6e-05,2e-05,1e-05,6e-05,2e-05,0.00014,2e-05,1e-05,3e-05,8e-05,0.00042,0.0,0.0,0.00012,0.00024,5e-05,0.00047,7e-05,9e-05,0.0001,0.00021,0.00054,7e-05,0.00012,0.00011,0.00024,0.00123
275,1.0,1e-05,1e-05,0.00011,1e-05,1e-05,0.00218,0.00154,1e-05,0.00047,2e-05,0.0002,1e-05,2e-05,2e-05,7e-05,7e-05,3e-05,1e-05,4e-05,1e-05,0.00013,2e-05,1e-05,3e-05,7e-05,0.00034,2e-05,1e-05,7e-05,0.00019,5e-05,0.00055,9e-05,9e-05,0.00015,0.00023,0.00053,8e-05,9e-05,0.00014,0.00021,0.00089
288,1.0,3e-05,2e-05,0.00033,5e-05,3e-05,0.00592,0.00492,4e-05,0.00071,5e-05,0.00039,2e-05,4e-05,4e-05,0.00015,0.00014,7e-05,3e-05,8e-05,4e-05,0.00029,3e-05,1e-05,7e-05,0.00018,0.00084,1e-05,1e-05,0.00024,0.00047,0.00011,0.00052,9e-05,8e-05,0.0001,0.00025,0.00076,0.00027,0.00012,0.00012,0.00025,0.0028
3043,1.0,2e-05,1e-05,0.00013,2e-05,1e-05,0.00173,0.00137,2e-05,0.00027,2e-05,0.00013,1e-05,3e-05,3e-05,7e-05,7e-05,3e-05,1e-05,5e-05,3e-05,0.00014,2e-05,1e-05,3e-05,8e-05,0.00022,1e-05,1e-05,6e-05,0.00011,4e-05,0.00068,0.00012,0.00014,0.00015,0.00028,0.00049,6e-05,7e-05,0.00011,0.00025,0.00084
75090,1.0,2e-05,1e-05,0.00014,3e-05,2e-05,0.01282,0.00498,9e-05,0.00437,0.00011,0.00368,1e-05,8e-05,8e-05,0.0002,0.00019,0.00014,1e-05,0.00019,2e-05,0.0002,2e-05,1e-05,5e-05,0.00012,0.00062,0.0,0.0,0.00017,0.00035,9e-05,0.00107,0.00018,0.00021,0.00024,0.00043,0.00213,0.00027,0.00026,0.00059,0.00101,0.00178
75092,1.0,1e-05,1e-05,7e-05,1e-05,1e-05,0.00086,0.00067,1e-05,0.00015,1e-05,7e-05,0.0,2e-05,2e-05,5e-05,6e-05,2e-05,1e-05,4e-05,1e-05,0.00016,2e-05,1e-05,4e-05,9e-05,0.0005,0.0,0.0,0.00014,0.00028,7e-05,0.00057,9e-05,0.0001,0.00012,0.00026,0.00045,7e-05,9e-05,0.0001,0.0002,0.00058
75093,1.0,4e-05,4e-05,0.00049,3e-05,2e-05,0.00845,0.0071,3e-05,0.00079,3e-05,0.00063,1e-05,3e-05,3e-05,8e-05,0.00014,4e-05,2e-05,9e-05,5e-05,0.00031,3e-05,1e-05,6e-05,0.00022,0.00068,0.0,1e-05,0.0002,0.00037,9e-05,0.00066,0.00011,8e-05,0.00014,0.00034,0.00043,7e-05,8e-05,9e-05,0.00019,0.00465
75095,1.0,1e-05,1e-05,0.0001,2e-05,1e-05,0.00205,0.00187,1e-05,0.00017,2e-05,5e-05,1e-05,3e-05,2e-05,5e-05,7e-05,2e-05,1e-05,3e-05,1e-05,0.00017,2e-05,1e-05,4e-05,0.00011,0.00046,0.0,0.0,0.00014,0.00025,6e-05,0.00038,8e-05,6e-05,8e-05,0.00016,0.00041,6e-05,7e-05,9e-05,0.00019,0.00119
75096,1.0,1e-05,1e-05,0.02128,2e-05,1e-05,0.38077,0.34553,1e-05,0.02603,1e-05,0.00924,1e-05,2e-05,2e-05,4e-05,7e-05,2e-05,1e-05,3e-05,2e-05,0.00018,2e-05,1e-05,4e-05,0.00011,0.00067,1e-05,1e-05,0.00021,0.00036,9e-05,0.0004,6e-05,6e-05,8e-05,0.00019,0.00046,6e-05,7e-05,9e-05,0.00024,0.44323
