@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE balanced_accuracy NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
75235,1.0,82,0.00035511363636364646,ok
75159,1.0,229,0.1797371767698177,ok
75146,1.0,177,0.11133295337512883,ok
244,1.0,445,0.11575413143684143,ok
75141,1.0,165,0.050536637526519046,ok
75221,1.0,94,0.4914888093835462,ok
75219,1.0,213,0.019397329662875884,ok
75202,1.0,97,0.18433410659054061,ok
3043,1.0,99,0.043973804626170176,ok
75205,1.0,105,0.1803496323059891,ok
75174,1.0,109,0.12379089333483884,ok
75250,1.0,113,0.34119122637231847,ok
75179,1.0,453,0.19101571448206345,ok
275,1.0,115,0.03242668321474351,ok
242,1.0,116,0.007239741498137109,ok
75207,1.0,275,0.17232200507691664,ok
75142,1.0,121,0.06952231849724333,ok
75099,1.0,125,0.21089445027551823,ok
75243,1.0,126,0.0,ok
75175,1.0,259,0.10456692268086232,ok
233,1.0,136,0.0029273411492256596,ok
75161,1.0,139,0.05812533465343872,ok
75176,1.0,328,0.015854489514151693,ok
262,1.0,146,0.002462075276088216,ok
75129,1.0,147,0.19355374646951318,ok
261,1.0,148,0.2741702741702742,ok
75114,1.0,154,0.03228525860104803,ok
75093,1.0,231,0.3230983313810136,ok
260,1.0,159,0.05191287332030803,ok
236,1.0,162,0.034595883492281376,ok
254,1.0,166,0.0,ok
75107,1.0,170,0.23956301205408403,ok
75181,1.0,175,0.0,ok
75189,1.0,187,0.02025230591675864,ok
75163,1.0,354,0.059486482720178424,ok
2350,1.0,191,0.44265281039922477,ok
2122,1.0,196,0.08866407449230929,ok
75110,1.0,200,0.0892774848127933,ok
75213,1.0,394,0.06878202601497829,ok
75095,1.0,419,0.02765589788101508,ok
75108,1.0,208,0.0,ok
75117,1.0,212,0.1734938503231186,ok
75191,1.0,217,0.1263938565180458,ok
75226,1.0,220,0.006186695634093908,ok
75244,1.0,241,0.1833319208640546,ok
75236,1.0,225,0.030530526315346806,ok
75169,1.0,290,0.031723386782242846,ok
75116,1.0,320,0.008439481350317024,ok
75223,1.0,237,0.08515902917936868,ok
75109,1.0,244,0.35005232075416093,ok
75197,1.0,247,0.16332713173897806,ok
75237,1.0,365,0.0003523635586275553,ok
248,1.0,403,0.2257897203294995,ok
2119,1.0,327,0.4707480605889418,ok
75127,1.0,255,0.3380998948824423,ok
75153,1.0,263,0.08236574746008707,ok
75195,1.0,274,0.000187687687687621,ok
266,1.0,322,0.017510588986410447,ok
75225,1.0,332,0.15122673434856182,ok
75100,1.0,446,0.16953106773466053,ok
75132,1.0,296,0.3561505166161997,ok
75210,1.0,298,0.0,ok
273,1.0,301,0.043052308591466915,ok
75133,1.0,414,0.16507138459734394,ok
75121,1.0,304,0.0,ok
75098,1.0,311,0.015321452269665192,ok
75115,1.0,315,0.06418073796122581,ok
75217,1.0,337,0.0,ok
75134,1.0,343,0.011154102369127616,ok
75096,1.0,346,0.4461656410418191,ok
75203,1.0,352,0.09021894986407675,ok
75123,1.0,362,0.32069683047857034,ok
75125,1.0,369,0.06332991540630606,ok
2120,1.0,392,0.1051547054670442,ok
75232,1.0,374,0.14199478918204833,ok
75103,1.0,380,0.0031496062992126816,ok
75230,1.0,388,0.29351716877227085,ok
75240,1.0,399,0.01733703190013869,ok
75198,1.0,405,0.09994663995318298,ok
75201,1.0,408,0.09663470965787901,ok
75105,1.0,418,0.2578602336574871,ok
75154,1.0,422,0.1541545189504374,ok
2117,1.0,429,0.16851840850367505,ok
75156,1.0,430,0.20890365833733027,ok
75097,1.0,437,0.22022348051074758,ok
75101,1.0,438,0.2704266856889155,ok
75172,1.0,447,0.07357976617051032,ok
75106,1.0,451,0.33189297926878125,ok
75120,1.0,459,0.1501022494887525,ok
75193,1.0,461,0.048015971884640574,ok
