@RELATION openml_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE acc_metric NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
979_bac,1.0,26,0.2,ok
934_bac,1.0,2,0.130890052356,ok
904_bac,1.0,24,0.206060606061,ok
953_bac,1.0,2,0.0436847103514,ok
977_bac,1.0,2,0.0118181818182,ok
1018_bac,1.0,2,0.12264474135,ok
395_bac,1.0,25,0.119753649635,ok
737_bac,1.0,2,0.321637426901,ok
735_bac,1.0,2,0.144230769231,ok
36_bac,1.0,2,0.045871559633,ok
1116_bac,1.0,1,0.0,ok
819_bac,1.0,42,0.22158548233,ok
1146_bac,1.0,2,0.0274509803922,ok
354_bac,1.0,41,0.509025761706,ok
273_bac,1.0,2,0.735056016442,ok
24_bac,1.0,2,0.0,ok
1166_bac,1.0,30,0.109803921569,ok
57_bac,1.0,2,0.00642570281124,ok
833_bac,1.0,3,0.377218934911,ok
901_bac,1.0,5,0.123829344433,ok
1138_bac,1.0,2,0.164705882353,ok
1000_bac,1.0,2,0.00481927710843,ok
554_bac,1.0,7,0.0392015392015,ok
401_bac,1.0,40,0.188378033206,ok
1053_bac,1.0,2,0.379627052602,ok
181_bac,1.0,2,0.459770114943,ok
727_bac,1.0,2,0.162330905307,ok
1142_bac,1.0,2,0.078431372549,ok
912_bac,1.0,2,0.151515151515,ok
% 
% 
% 
