@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE balanced_accuracy NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
2122,1.0,60,0.292400218490373,ok
75188,1.0,61,0.4727873168498168,ok
75166,1.0,62,0.09969265347610456,ok
75181,1.0,63,0.0,ok
75133,1.0,64,0.31850429480226317,ok
75134,1.0,65,0.14906265793135665,ok
75198,1.0,66,0.12654657786302836,ok
262,1.0,67,0.0027336509054473046,ok
75234,1.0,68,0.05981527192723568,ok
75139,1.0,69,0.013389237134515009,ok
252,1.0,70,0.1626862498888315,ok
75117,1.0,71,0.12062226391494679,ok
75113,1.0,72,0.010561357454012876,ok
75098,1.0,73,0.028062456815564074,ok
246,1.0,74,0.02464555428242643,ok
75203,1.0,75,0.11023617811471986,ok
75237,1.0,76,0.00040449626783733983,ok
75195,1.0,77,0.0015167841344365662,ok
75171,1.0,78,0.16706480960317482,ok
75128,1.0,79,0.07016624831750884,ok
75096,1.0,80,0.6475478379912987,ok
75250,1.0,81,0.391127054727214,ok
75146,1.0,82,0.1222599514053454,ok
75116,1.0,83,0.020634603301536547,ok
75157,1.0,84,0.44266509433962264,ok
75187,1.0,85,0.027932128591676264,ok
2350,1.0,86,0.4423678825304047,ok
242,1.0,87,0.017081000552456538,ok
244,1.0,88,0.10808472308576977,ok
75125,1.0,89,0.07105870289669314,ok
75185,1.0,90,0.1293167333629761,ok
75163,1.0,91,0.06128065774804903,ok
75177,1.0,92,0.03815960706939259,ok
75189,1.0,93,0.02093625722530723,ok
75244,1.0,94,0.18253811312937274,ok
75219,1.0,95,0.08686090936376534,ok
75222,1.0,96,0.11136904761904765,ok
75159,1.0,97,0.25561678677405686,ok
75175,1.0,98,0.12715986367288612,ok
75109,1.0,99,0.40368927333473925,ok
254,1.0,100,0.0,ok
75105,1.0,101,0.42618761507557956,ok
75106,1.0,102,0.4177538160920802,ok
75212,1.0,103,0.2773454482218938,ok
75099,1.0,104,0.29830589084229864,ok
75248,1.0,105,0.1981334600032404,ok
233,1.0,106,0.01525546388768273,ok
75235,1.0,107,0.001061350868232891,ok
75226,1.0,108,0.009036055111661834,ok
75132,1.0,109,0.4536697094634172,ok
75127,1.0,110,0.33895073146733024,ok
251,1.0,111,0.020161426212381595,ok
