@RELATION ChaLearn_AutoML_Challenge_2015_FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE NumberOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE KurtosisSTD NUMERIC
@ATTRIBUTE DatasetRatio NUMERIC
@ATTRIBUTE LandmarkDecisionNodeLearner NUMERIC
@ATTRIBUTE NumberOfClasses NUMERIC
@ATTRIBUTE NumberOfMissingValues NUMERIC
@ATTRIBUTE KurtosisMin NUMERIC
@ATTRIBUTE SkewnessMean NUMERIC
@ATTRIBUTE SymbolsMean NUMERIC
@ATTRIBUTE Skewnesses NUMERIC
@ATTRIBUTE SkewnessSTD NUMERIC
@ATTRIBUTE SkewnessMax NUMERIC
@ATTRIBUTE NumberOfFeatures NUMERIC
@ATTRIBUTE ClassEntropy NUMERIC
@ATTRIBUTE PCA NUMERIC
@ATTRIBUTE LandmarkNaiveBayes NUMERIC
@ATTRIBUTE LogNumberOfFeatures NUMERIC
@ATTRIBUTE RatioNominalToNumerical NUMERIC
@ATTRIBUTE LogNumberOfInstances NUMERIC
@ATTRIBUTE SymbolsSTD NUMERIC
@ATTRIBUTE MissingValues NUMERIC
@ATTRIBUTE SymbolsSum NUMERIC
@ATTRIBUTE PCAKurtosisFirstPC NUMERIC
@ATTRIBUTE NumSymbols NUMERIC
@ATTRIBUTE ClassProbabilityMax NUMERIC
@ATTRIBUTE LandmarkRandomNodeLearner NUMERIC
@ATTRIBUTE ClassProbabilitySTD NUMERIC
@ATTRIBUTE SymbolsMin NUMERIC
@ATTRIBUTE LogInverseDatasetRatio NUMERIC
@ATTRIBUTE LandmarkDecisionTree NUMERIC
@ATTRIBUTE KurtosisMean NUMERIC
@ATTRIBUTE NumberOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE KurtosisMax NUMERIC
@ATTRIBUTE PCASkewnessFirstPC NUMERIC
@ATTRIBUTE PCAFractionOfComponentsFor95PercentVariance NUMERIC
@ATTRIBUTE LandmarkLDA NUMERIC
@ATTRIBUTE ClassOccurences NUMERIC
@ATTRIBUTE NumberOfCategoricalFeatures NUMERIC
@ATTRIBUTE Kurtosisses NUMERIC
@ATTRIBUTE ClassProbabilityMin NUMERIC
@ATTRIBUTE PercentageOfMissingValues NUMERIC
@ATTRIBUTE InverseDatasetRatio NUMERIC
@ATTRIBUTE PercentageOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE ClassProbabilityMean NUMERIC
@ATTRIBUTE RatioNumericalToNominal NUMERIC
@ATTRIBUTE PercentageOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfInstances NUMERIC
@ATTRIBUTE LogDatasetRatio NUMERIC
@ATTRIBUTE SkewnessMin NUMERIC
@ATTRIBUTE NumberOfNumericFeatures NUMERIC
@ATTRIBUTE Landmark1NN NUMERIC
@ATTRIBUTE SymbolsMax NUMERIC

@DATA
218_a_metric,1.0,0.00055,0.00013,2e-05,67.71129,0.00096,0.00014,3e-05,8e-05,0.00013,0.00032,0.00017,4e-05,1e-05,0.00479,0.00169,6.36622,1e-05,7e-05,1e-05,0.00048,0.0047,4e-05,0.00071,0.00066,9e-05,6.24034,0.00025,0.0,1e-05,37.56968,7e-05,0.00404,3e-05,0.00095,3e-05,3.34971,0.00064,2e-05,0.00027,0.00011,1e-05,4e-05,1e-05,0.00019,5e-05,2e-05,1e-05,1e-05,3e-05,2e-05,2.79182,1e-05
218_r2_metric,1.0,0.00055,0.00013,2e-05,67.73154,0.00097,0.00022,3e-05,8e-05,0.00013,0.00032,0.00016,4e-05,1e-05,0.00482,0.00203,6.31126,1e-05,7e-05,1e-05,0.00049,0.00464,4e-05,0.00082,0.00067,9e-05,6.48708,0.00026,0.0,1e-05,37.58227,7e-05,0.0039,3e-05,0.00115,6e-05,3.33171,0.00065,2e-05,0.00027,0.00011,1e-05,4e-05,1e-05,0.00019,5e-05,1e-05,1e-05,1e-05,3e-05,2e-05,3.18083,0.0
225_a_metric,1.0,0.00023,0.0,2e-05,0.0,0.0004,7e-05,0.0,0.0,0.00013,0.0,0.0,0.0,1e-05,0.00465,0.0,0.0,1e-05,8e-05,1e-05,0.00047,0.00169,4e-05,0.0,0.00065,0.00031,0.0,0.00058,0.0,1e-05,0.0,0.0,0.00141,0.0,0.0,0.0,0.0,0.00173,2e-05,0.0,0.00033,1e-05,4e-05,1e-05,0.00051,4e-05,1e-05,1e-05,1e-05,0.0,2e-05,0.0,0.0
225_r2_metric,1.0,0.00024,0.0,2e-05,0.0,0.0004,7e-05,0.0,0.0,0.00013,0.0,0.0,0.0,1e-05,0.00481,0.0,0.0,1e-05,8e-05,1e-05,0.00049,0.00188,4e-05,0.0,0.00067,0.00031,0.0,0.00059,0.0,1e-05,0.0,0.0,0.0016,0.0,0.0,0.0,0.0,0.00173,2e-05,0.0,0.00033,1e-05,4e-05,1e-05,0.00051,5e-05,1e-05,1e-05,1e-05,0.0,2e-05,0.0,0.0
227_a_metric,1.0,0.00031,0.00015,2e-05,1.08761,0.00027,0.00012,4e-05,0.0001,0.00021,0.00054,0.00035,6e-05,1e-05,0.00155,0.00116,0.15859,1e-05,7e-05,1e-05,0.00063,0.0019,4e-05,0.00049,0.00088,1e-05,0.08022,0.0001,0.0,1e-05,1.07273,8e-05,0.00149,4e-05,0.00064,3e-05,0.1173,0.00018,2e-05,0.00031,3e-05,1e-05,4e-05,1e-05,5e-05,5e-05,1e-05,1e-05,1e-05,3e-05,2e-05,0.39389,0.0
227_r2_metric,1.0,0.00031,0.00014,2e-05,1.08009,0.00027,0.00014,3e-05,0.0001,0.00013,0.0005,0.00031,5e-05,1e-05,0.00157,0.00134,0.15713,1e-05,7e-05,1e-05,0.00046,0.00227,4e-05,0.0005,0.00064,1e-05,0.08255,9e-05,0.0,1e-05,1.12165,8e-05,0.00185,4e-05,0.0008,3e-05,0.11762,0.00018,2e-05,0.00029,3e-05,0.0,3e-05,1e-05,5e-05,5e-05,1e-05,1e-05,1e-05,3e-05,2e-05,0.39549,0.0
287_a_metric,1.0,0.00026,0.00013,2e-05,0.0509,0.00015,0.0001,3e-05,8e-05,0.00013,0.00029,0.00015,3e-05,1e-05,0.00122,0.00106,0.03374,1e-05,7e-05,1e-05,0.00044,0.00148,4e-05,0.00045,0.00062,1e-05,0.01752,9e-05,0.0,1e-05,0.36272,7e-05,0.00115,3e-05,0.00059,3e-05,0.0471,0.00016,2e-05,0.00027,2e-05,0.0,3e-05,1e-05,4e-05,5e-05,1e-05,1e-05,1e-05,3e-05,2e-05,0.19388,0.0
287_r2_metric,1.0,0.00026,0.00013,2e-05,0.05094,0.00016,0.0001,3e-05,8e-05,0.00013,0.00029,0.00015,4e-05,1e-05,0.00125,0.00106,0.03377,1e-05,7e-05,1e-05,0.00051,0.00149,4e-05,0.00045,0.00069,1e-05,0.0175,9e-05,0.0,1e-05,0.36236,8e-05,0.00115,3e-05,0.00059,3e-05,0.07657,0.00017,2e-05,0.00027,2e-05,1e-05,4e-05,1e-05,4e-05,5e-05,1e-05,1e-05,1e-05,3e-05,2e-05,0.19379,0.0
296_a_metric,1.0,0.00092,0.0,3e-05,0.0,0.00038,0.00056,0.0,0.0,0.00013,0.0,0.0,0.0,1e-05,0.0028,0.0,0.0,1e-05,7e-05,1e-05,0.00052,0.00431,4e-05,0.0,0.0007,1e-05,0.0,0.0001,0.0,1e-05,0.0,0.0,0.00287,0.0,0.0,0.0,0.0,0.00018,2e-05,0.0,3e-05,1e-05,4e-05,1e-05,5e-05,5e-05,2e-05,1e-05,1e-05,0.0,2e-05,0.0,0.0
296_r2_metric,1.0,0.00073,0.0,3e-05,0.0,0.0004,0.00058,0.0,0.0,0.00013,0.0,0.0,0.0,1e-05,0.00307,0.0,0.0,1e-05,7e-05,1e-05,0.00048,0.00402,4e-05,0.0,0.00066,1e-05,0.0,9e-05,0.0,1e-05,0.0,0.0,0.00276,0.0,0.0,0.0,0.0,0.00018,2e-05,0.0,3e-05,1e-05,5e-05,1e-05,5e-05,5e-05,2e-05,1e-05,1e-05,0.0,2e-05,0.0,0.0
308_a_metric,1.0,0.00048,0.0,3e-05,0.0,0.00049,0.00019,0.0,0.0,0.00013,0.0,0.0,0.0,1e-05,0.00361,0.0,0.0,1e-05,7e-05,1e-05,0.00051,0.00221,4e-05,0.0,0.00069,0.00024,0.0,0.0005,0.0,1e-05,0.0,0.0,0.00157,0.0,0.0,0.0,0.0,0.00145,2e-05,0.0,0.00026,1e-05,4e-05,1e-05,0.00043,5e-05,2e-05,1e-05,1e-05,0.0,2e-05,0.0,1e-05
308_r2_metric,1.0,0.00049,0.0,3e-05,0.0,0.0004,0.00019,0.0,0.0,0.00013,0.0,0.0,0.0,1e-05,0.00355,0.0,0.0,1e-05,7e-05,1e-05,0.00047,0.00221,4e-05,0.0,0.00064,0.00025,0.0,0.00049,0.0,1e-05,0.0,0.0,0.00157,0.0,0.0,0.0,0.0,0.00146,2e-05,0.0,0.00028,1e-05,4e-05,1e-05,0.00044,5e-05,1e-05,1e-05,1e-05,0.0,2e-05,0.0,0.0
344_a_metric,1.0,0.00107,0.0,2e-05,0.0,0.00208,0.00028,0.0,0.0,4e-05,0.0,0.0,0.0,1e-05,0.02166,0.0,0.0,1e-05,8e-05,1e-05,9e-05,0.00841,3e-05,0.0,0.00017,0.00164,0.0,0.00294,0.0,2e-05,0.0,0.0,0.00709,0.0,0.0,0.0,0.0,0.00874,2e-05,0.0,0.00163,1e-05,4e-05,1e-05,0.00252,5e-05,2e-05,1e-05,1e-05,0.0,2e-05,0.0,1e-05
344_r2_metric,1.0,0.00105,0.0,2e-05,0.0,0.00206,0.00028,0.0,0.0,4e-05,0.0,0.0,0.0,1e-05,0.01995,0.0,0.0,1e-05,7e-05,1e-05,8e-05,0.00833,3e-05,0.0,0.00016,0.00161,0.0,0.00256,1e-05,1e-05,0.0,0.0,0.00704,0.0,0.0,0.0,0.0,0.00829,2e-05,0.0,0.00163,1e-05,4e-05,1e-05,0.00249,5e-05,1e-05,1e-05,1e-05,0.0,2e-05,0.0,1e-05
