idx,adaboost:algorithm,adaboost:learning_rate,adaboost:max_depth,adaboost:n_estimators,balancing:strategy,bernoulli_nb:alpha,bernoulli_nb:fit_prior,classifier,decision_tree:criterion,decision_tree:max_depth,decision_tree:max_features,decision_tree:max_leaf_nodes,decision_tree:min_samples_leaf,decision_tree:min_samples_split,extra_trees:bootstrap,extra_trees:criterion,extra_trees:max_depth,extra_trees:max_features,extra_trees:min_samples_leaf,extra_trees:min_samples_split,extra_trees:n_estimators,gradient_boosting:learning_rate,gradient_boosting:max_depth,gradient_boosting:max_features,gradient_boosting:min_samples_leaf,gradient_boosting:min_samples_split,gradient_boosting:n_estimators,gradient_boosting:subsample,imputation:strategy,k_nearest_neighbors:algorithm,k_nearest_neighbors:leaf_size,k_nearest_neighbors:n_neighbors,k_nearest_neighbors:p,k_nearest_neighbors:weights,kitchen_sinks:gamma,kitchen_sinks:n_components,lda:n_components,lda:tol,liblinear_svc:C,liblinear_svc:class_weight,liblinear_svc:dual,liblinear_svc:fit_intercept,liblinear_svc:intercept_scaling,liblinear_svc:loss,liblinear_svc:multi_class,liblinear_svc:penalty,liblinear_svc:tol,liblinear_svc_preprocessor:C,liblinear_svc_preprocessor:class_weight,liblinear_svc_preprocessor:dual,liblinear_svc_preprocessor:fit_intercept,liblinear_svc_preprocessor:intercept_scaling,liblinear_svc_preprocessor:loss,liblinear_svc_preprocessor:multi_class,liblinear_svc_preprocessor:penalty,liblinear_svc_preprocessor:tol,libsvm_svc:C,libsvm_svc:class_weight,libsvm_svc:coef0,libsvm_svc:degree,libsvm_svc:gamma,libsvm_svc:kernel,libsvm_svc:max_iter,libsvm_svc:shrinking,libsvm_svc:tol,multinomial_nb:alpha,multinomial_nb:fit_prior,nystroem_sampler:coef0,nystroem_sampler:degree,nystroem_sampler:gamma,nystroem_sampler:kernel,nystroem_sampler:n_components,passive_aggresive:C,passive_aggresive:fit_intercept,passive_aggresive:loss,passive_aggresive:n_iter,preprocessor,qda:reg_param,qda:tol,random_forest:bootstrap,random_forest:criterion,random_forest:max_depth,random_forest:max_features,random_forest:max_leaf_nodes,random_forest:min_samples_leaf,random_forest:min_samples_split,random_forest:n_estimators,rescaling:strategy,ridge:alpha,ridge:fit_intercept,ridge:tol,select_percentile_classification:percentile,select_percentile_classification:score_func,select_rates:alpha,select_rates:mode,select_rates:score_func,sgd:alpha,sgd:epsilon,sgd:eta0,sgd:fit_intercept,sgd:l1_ratio,sgd:learning_rate,sgd:loss,sgd:n_iter,sgd:penalty,sgd:power_t,truncatedSVD:target_dim
29,,,,,none,0.9244024866715261,False,bernoulli_nb,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
30,,,,,weighting,,,multinomial_nb,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20242809933584976,False,,,,,,,,,,select_rates,,,,,,,,,,,min/max,,,,,,0.3339985436370502,fpr,chi2,,,,,,,,,,,
31,,,,,none,,,ridge,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19300580318341942,2,5.832304219289268,poly,857,,,,,nystroem_sampler,,,,,,,,,,,min/max,0.00023314333041397678,True,1.3174871988944877e-05,,,,,,,,,,,,,,,,
32,,,,,weighting,,,random_forest,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,densifier,,,False,gini,None,3.1080167970498893,None,4,5,100,min/max,,,,,,,,,,,,,,,,,,,
33,,,,,weighting,,,sgd,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,1.8292056534939372,3022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,none,,,,,,,,,0.00036371851794742314,,0.014331857742416845,True,,constant,log,492,l2,,
34,,,,,weighting,,,sgd,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,3937.3822653724947,auto,False,True,1,l2,ovr,l2,0.005513698210165905,,,,,,,,,,,,,,,,,,,,,liblinear_svc_preprocessor,,,,,,,,,,,min/max,,,,,,,,,0.0020841018784736156,,0.06646318040954442,True,0.5384448115912315,optimal,log,718,elasticnet,,
35,,,,,none,,,multinomial_nb,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10215927263651471,True,,,,,,,,,,select_percentile_classification,,,,,,,,,,,min/max,,,,66.1074107906201,chi2,,,,,,,,,,,,,,
36,,,,,weighting,,,liblinear_svc,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,31.85677011133806,None,False,True,1,l2,ovr,l2,0.014868685044056829,2.8635267316096007,auto,False,True,1,l2,ovr,l2,0.003376722544010921,,,,,,,,,,,,,,,,,,,,,liblinear_svc_preprocessor,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
37,,,,,weighting,,,liblinear_svc,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,1.1776001601005561,None,False,True,1,l2,ovr,l2,0.017370502624962942,56.8804975494496,None,False,True,1,l2,ovr,l2,0.003876415699636574,,,,,,,,,,,,,,,,,,,,,liblinear_svc_preprocessor,,,,,,,,,,,normalize,,,,,,,,,,,,,,,,,,,
38,,,,,weighting,,,random_forest,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,densifier,,,False,entropy,None,4.501432836777849,None,3,18,100,min/max,,,,,,,,,,,,,,,,,,,
39,,,,,weighting,,,sgd,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,1.6267884804194324,5339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,min/max,,,,,,,,,1.7354697729055102e-05,,0.06823582260704687,True,,optimal,log,748,l2,,
40,,,,,weighting,,,passive_aggresive,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04789379035470258,True,hinge,753,select_rates,,,,,,,,,,,min/max,,,,,,0.1675294681360058,fpr,chi2,,,,,,,,,,,
41,,,,,weighting,,,ridge,,,,,,,,,,,,,,,,,,,,,mean,,,,,,1.2433817260885314,889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,min/max,0.00434041929704603,True,9.460659754813873e-05,,,,,,,,,,,,,,,,
42,,,,,none,,,liblinear_svc,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,1.3991664515518563,4483,,,1.6961613849240715,auto,False,True,1,l2,ovr,l2,1.2226733781308284e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
