@RELATION automl_competition_2015_phase2_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE bac_metric NUMERIC
@ATTRIBUTE acc_metric NUMERIC
@ATTRIBUTE auc_metric NUMERIC
@ATTRIBUTE duration NUMERIC
@ATTRIBUTE f1_metric NUMERIC
@ATTRIBUTE pac_metric NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
1112_bac,1,1311,0.7638385895,0.6652969261,0.7284848485,72.0566279888,1.6116921427,2.019014188,ok
980_bac,1,128,0.0058912454,6.98692175283E-005,0.0021563342,13.6529941559,0.0012004802,1.0033225222,ok
980_bac,1,129,0.012982971,8.89244586724E-005,0.0064690027,3.8363099098,0.0036036036,1.0138543655,ok
980_bac,1,120,0.0064914855,0.0001397384,0.0032345013,132.987140179,0.0018012609,0.985655089,ok
980_bac,1,121,0.0064914855,4.44622293361E-005,0.0032345013,20.4013001919,0.0018012609,1.0026150117,ok
980_bac,1,122,0.0076919657,6.35174704802E-005,0.0053908356,57.9822378159,0.0030039051,1.0012761711,ok
980_bac,1,123,0.0058912454,4.44622293361E-005,0.0021563342,61.9362151623,0.0012004802,0.9929160382,ok
980_bac,1,124,0.0111822507,6.35174704802E-005,0.0032345013,23.9113709927,0.00180018,0.9857207587,ok
980_bac,1,125,0.0070917256,0.0001397384,0.0043126685,71.1165318489,0.0024024024,0.9865872312,ok
980_bac,1,126,0.0070917256,8.25727116243E-005,0.0043126685,33.4975020885,0.0024024024,0.9875983168,ok
980_bac,1,127,0.0111822507,0.000050814,0.0032345013,34.9675490856,0.00180018,0.9853144963,ok
816_bac,1,192,0.3589810643,0.2012235019,0.3587278107,6.0498571396,0.3706534199,0.6647959269,ok
816_bac,1,193,0.3596714861,0.2360104778,0.3594674556,33.0495049953,0.3693009119,0.6957134814,ok
816_bac,1,194,0.3648655155,0.205487486,0.3646449704,64.9630391598,0.3753330796,0.7918415653,ok
816_bac,1,195,0.359638661,0.2036864806,0.3594674556,11.8452768326,0.3679031037,0.7737932962,ok
816_bac,1,186,0.3538723803,0.2137183867,0.3535502959,5.9774529934,0.3682588598,0.6783872403,ok
816_bac,1,187,0.3575083102,0.1959413918,0.3572485207,3.0979318619,0.3694072658,0.7538374174,ok
816_bac,1,188,0.3522420656,0.2063420335,0.3520710059,4.6194109917,0.360333081,0.8023944223,ok
816_bac,1,189,0.3576199157,0.2033385343,0.3572485207,9.4360039234,0.3742735374,0.6692914714,ok
816_bac,1,190,0.3626957745,0.1912452103,0.3624260355,2.9518260956,0.3751914242,0.6610684297,ok
816_bac,1,191,0.3611376751,0.2088247073,0.3609467456,64.466449976,0.3702579666,0.776430425,ok
752_bac,1,1351,0.2276812948,0.0704060602,0.2278106509,4.5073862076,0.2276422764,0.462834234,ok
752_bac,1,1352,0.2284390434,0.0730261743,0.2285502959,10.374576807,0.2286348502,0.4315017166,ok
752_bac,1,1353,0.224722519,0.0745028266,0.224852071,11.1325669289,0.2246858832,0.8795787692,ok
752_bac,1,1354,0.2217155975,0.0722459942,0.2218934911,4.5693721771,0.2210759027,0.4292400209,ok
752_bac,1,1355,0.2269235462,0.075658872,0.2270710059,3.9098029137,0.2266519011,0.4385036466,ok
752_bac,1,1356,0.2352226714,0.0738019776,0.2352071006,5.1785068512,0.2371364653,0.9333737668,ok
752_bac,1,1357,0.2275850033,0.0687433902,0.2278106509,10.8924310207,0.2263041881,0.4237904195,ok
752_bac,1,1358,0.2247947377,0.0716518318,0.224852071,11.5289719105,0.2256867112,0.8779065181,ok
752_bac,1,1359,0.2256247049,0.0673329383,0.225591716,3.6136868,0.2276969018,0.4155920939,ok
