@RELATION auto-sklearn_FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE NumberOfInstances NUMERIC
@ATTRIBUTE LogNumberOfInstances NUMERIC
@ATTRIBUTE NumberOfClasses NUMERIC
@ATTRIBUTE NumberOfFeatures NUMERIC
@ATTRIBUTE LogNumberOfFeatures NUMERIC
@ATTRIBUTE MissingValues NUMERIC
@ATTRIBUTE NumberOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE PercentageOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE PercentageOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfMissingValues NUMERIC
@ATTRIBUTE PercentageOfMissingValues NUMERIC
@ATTRIBUTE NumberOfNumericFeatures NUMERIC
@ATTRIBUTE NumberOfCategoricalFeatures NUMERIC
@ATTRIBUTE RatioNumericalToNominal NUMERIC
@ATTRIBUTE RatioNominalToNumerical NUMERIC
@ATTRIBUTE DatasetRatio NUMERIC
@ATTRIBUTE LogDatasetRatio NUMERIC
@ATTRIBUTE InverseDatasetRatio NUMERIC
@ATTRIBUTE LogInverseDatasetRatio NUMERIC
@ATTRIBUTE ClassOccurences NUMERIC
@ATTRIBUTE ClassProbabilityMin NUMERIC
@ATTRIBUTE ClassProbabilityMax NUMERIC
@ATTRIBUTE ClassProbabilityMean NUMERIC
@ATTRIBUTE ClassProbabilitySTD NUMERIC
@ATTRIBUTE NumSymbols NUMERIC
@ATTRIBUTE SymbolsMin NUMERIC
@ATTRIBUTE SymbolsMax NUMERIC
@ATTRIBUTE SymbolsMean NUMERIC
@ATTRIBUTE SymbolsSTD NUMERIC
@ATTRIBUTE SymbolsSum NUMERIC
@ATTRIBUTE Kurtosisses NUMERIC
@ATTRIBUTE KurtosisMin NUMERIC
@ATTRIBUTE KurtosisMax NUMERIC
@ATTRIBUTE KurtosisMean NUMERIC
@ATTRIBUTE KurtosisSTD NUMERIC
@ATTRIBUTE Skewnesses NUMERIC
@ATTRIBUTE SkewnessMin NUMERIC
@ATTRIBUTE SkewnessMax NUMERIC
@ATTRIBUTE SkewnessMean NUMERIC
@ATTRIBUTE SkewnessSTD NUMERIC
@ATTRIBUTE ClassEntropy NUMERIC
@ATTRIBUTE LandmarkLDA NUMERIC
@ATTRIBUTE LandmarkNaiveBayes NUMERIC
@ATTRIBUTE LandmarkDecisionTree NUMERIC
@ATTRIBUTE LandmarkDecisionNodeLearner NUMERIC
@ATTRIBUTE LandmarkRandomNodeLearner NUMERIC
@ATTRIBUTE Landmark1NN NUMERIC
@ATTRIBUTE PCA NUMERIC
@ATTRIBUTE PCAFractionOfComponentsFor95PercentVariance NUMERIC
@ATTRIBUTE PCAKurtosisFirstPC NUMERIC
@ATTRIBUTE PCASkewnessFirstPC NUMERIC

@DATA
258,1.0,0.0,0.0,9e-05,0.0,0.0,0.00157,0.00108,1e-05,0.00025,1e-05,0.00026,0.0,1e-05,1e-05,2e-05,4e-05,1e-05,0.0,2e-05,1e-05,0.0001,2e-05,0.0,2e-05,5e-05,0.00022,0.0,0.0,5e-05,0.00013,3e-05,0.00019,3e-05,3e-05,4e-05,9e-05,0.00023,3e-05,4e-05,5e-05,0.00011,0.00074,0.07268,0.04172,0.32853,0.04696,0.02231,1.1031,0.0021,4e-05,0.00052,0.00154
260,1.0,0.0,0.0,5e-05,0.0,0.0,0.0011,0.00095,1e-05,0.00012,1e-05,4e-05,0.0,1e-05,1e-05,2e-05,4e-05,1e-05,0.0,2e-05,1e-05,0.0001,2e-05,0.0,2e-05,5e-05,0.00022,0.0,0.0,5e-05,0.00014,3e-05,0.00019,3e-05,3e-05,4e-05,9e-05,0.00022,3e-05,4e-05,4e-05,0.00011,0.00072,0.02985,0.01849,0.2278,0.04064,0.02034,0.07096,0.00106,2e-05,0.00032,0.00072
261,1.0,0.0,0.0,3e-05,0.0,0.0,0.00027,0.00021,1e-05,6e-05,1e-05,3e-05,0.0,1e-05,1e-05,2e-05,4e-05,1e-05,0.0,2e-05,1e-05,0.0001,2e-05,0.0,2e-05,6e-05,0.00023,0.0,0.0,5e-05,0.00014,3e-05,0.00019,2e-05,3e-05,4e-05,9e-05,0.00023,3e-05,4e-05,5e-05,0.00011,0.00024,0.04884,0.01151,0.06166,0.00896,0.02781,0.10239,0.00227,3e-05,0.00059,0.00165
262,1.0,0.0,0.0,0.00016,1e-05,0.0,0.00236,0.00201,1e-05,0.00024,1e-05,0.00012,0.0,1e-05,1e-05,2e-05,4e-05,1e-05,0.0,2e-05,1e-05,0.00011,3e-05,1e-05,2e-05,6e-05,0.00023,0.0,0.0,5e-05,0.00014,3e-05,0.00018,3e-05,3e-05,4e-05,9e-05,0.00022,3e-05,4e-05,5e-05,0.00011,0.00136,0.14191,0.0412,0.32063,0.05453,0.02615,0.24783,0.00127,2e-05,0.00045,0.0008
266,1.0,0.0,0.0,5e-05,1e-05,0.0,0.00055,0.00042,1e-05,0.0001,1e-05,5e-05,0.0,1e-05,1e-05,2e-05,4e-05,1e-05,0.0,3e-05,1e-05,0.0001,2e-05,1e-05,2e-05,5e-05,0.00023,0.0,0.0,5e-05,0.00014,3e-05,0.00018,3e-05,3e-05,4e-05,9e-05,0.00023,3e-05,4e-05,5e-05,0.00011,0.0004,0.02958,0.01722,0.08584,0.04752,0.01788,0.0505,0.00101,3e-05,0.00031,0.00068
273,1.0,0.0,0.0,5e-05,0.0,0.0,0.00129,0.00092,1e-05,0.00022,1e-05,0.00017,0.0,1e-05,1e-05,2e-05,4e-05,1e-05,0.0,2e-05,1e-05,0.0001,2e-05,0.0,2e-05,5e-05,0.00021,0.0,0.0,5e-05,0.00013,3e-05,0.00021,3e-05,3e-05,4e-05,0.00011,0.00023,3e-05,4e-05,5e-05,0.00011,0.00062,0.05059,0.01977,0.3672,0.04405,0.0162,0.53449,0.00171,4e-05,0.00045,0.00122
275,1.0,0.0,0.0,5e-05,1e-05,0.0,0.00096,0.00068,1e-05,0.00017,1e-05,0.00013,0.0,1e-05,1e-05,2e-05,4e-05,1e-05,0.0,2e-05,1e-05,0.0001,2e-05,0.0,2e-05,6e-05,0.00022,0.0,0.0,5e-05,0.00013,3e-05,0.00024,3e-05,4e-05,5e-05,0.00012,0.00026,4e-05,5e-05,5e-05,0.00013,0.00048,0.38409,0.07374,0.22338,0.05415,0.02988,1.9556,0.00417,7e-05,0.00186,0.00223
288,1.0,0.0,0.0,6e-05,1e-05,0.0,0.00123,0.00093,1e-05,0.00018,1e-05,0.00014,0.0,1e-05,1e-05,2e-05,4e-05,1e-05,0.0,3e-05,1e-05,0.0001,2e-05,1e-05,2e-05,5e-05,0.00022,0.0,0.0,5e-05,0.00013,3e-05,0.00019,3e-05,3e-05,4e-05,9e-05,0.00024,3e-05,4e-05,5e-05,0.00012,0.00066,0.04337,0.02046,0.80912,0.10454,0.01948,0.64918,0.00171,3e-05,0.00045,0.00122
2117,1.0,0.0,0.0,0.00035,1e-05,0.0,0.00911,0.00781,1e-05,0.00089,1e-05,0.00042,0.0,1e-05,1e-05,2e-05,4e-05,1e-05,0.0,2e-05,1e-05,0.0001,2e-05,0.0,2e-05,5e-05,0.00021,0.0,0.0,5e-05,0.00013,3e-05,0.00023,3e-05,4e-05,6e-05,0.00011,0.00024,3e-05,4e-05,5e-05,0.00012,0.00558,1.82582,0.52123,3.33655,0.54438,0.14958,132.65252,0.02141,5e-05,0.01012,0.01124
2119,1.0,0.0,0.0,3e-05,0.0,0.0,0.00034,0.00028,0.0,6e-05,1e-05,2e-05,0.0,1e-05,1e-05,2e-05,3e-05,1e-05,0.0,2e-05,1e-05,0.0001,2e-05,0.0,2e-05,6e-05,0.00024,0.0,0.0,5e-05,0.00014,3e-05,0.00022,3e-05,3e-05,5e-05,0.00011,0.00021,2e-05,4e-05,4e-05,0.0001,0.0003,0.02172,0.01729,0.03202,0.0097,0.01496,0.03239,0.00095,2e-05,0.00026,0.00066
2120,1.0,1e-05,0.0,0.00011,1e-05,0.0,0.00186,0.00134,1e-05,0.00035,1e-05,0.0002,0.0,2e-05,1e-05,3e-05,7e-05,2e-05,0.0,4e-05,1e-05,0.00021,7e-05,1e-05,3e-05,0.0001,0.00033,0.0,0.0,9e-05,0.0002,3e-05,0.00019,3e-05,3e-05,4e-05,9e-05,0.00022,3e-05,4e-05,4e-05,0.00011,0.00086,0.05479,0.02945,0.47963,0.06678,0.02217,0.38195,0.00141,2e-05,0.00048,0.00091
2122,1.0,1e-05,0.0,0.00037,1e-05,0.0,0.00533,0.00482,0.0,0.00041,1e-05,0.00011,0.0,1e-05,1e-05,2e-05,3e-05,1e-05,0.0,2e-05,1e-05,0.0001,2e-05,0.0,2e-05,5e-05,0.00022,0.0,0.0,5e-05,0.00013,3e-05,0.00022,3e-05,3e-05,4e-05,0.00011,0.00023,3e-05,4e-05,4e-05,0.00012,0.00323,0.31419,0.19372,0.55157,0.09075,0.06219,16.2308,0.00532,2e-05,0.00233,0.00297
2123,1.0,0.0,0.0,3e-05,0.0,0.0,0.00034,0.00025,0.0,6e-05,1e-05,4e-05,0.0,1e-05,1e-05,2e-05,4e-05,1e-05,0.0,2e-05,1e-05,0.0001,2e-05,1e-05,2e-05,5e-05,0.00026,0.0,1e-05,6e-05,0.00014,5e-05,0.00021,3e-05,3e-05,5e-05,0.0001,0.00028,4e-05,5e-05,5e-05,0.00013,0.00028,0.03804,0.01119,0.05745,0.0197,0.01322,0.03231,0.00097,1e-05,0.00029,0.00067
2350,1.0,1e-05,0.0,0.00099,2e-05,0.0,0.271,0.25208,3e-05,0.01582,4e-05,0.00318,1e-05,2e-05,2e-05,6e-05,7e-05,6e-05,1e-05,9e-05,1e-05,9e-05,1e-05,1e-05,2e-05,6e-05,0.00027,0.0,0.0,6e-05,0.00015,6e-05,0.00031,5e-05,5e-05,7e-05,0.00014,0.00032,5e-05,6e-05,7e-05,0.00014,0.01427,0.0,1e-05,0.0,0.0,1e-05,1.47708,3e-05,0.0,0.0,2e-05
3043,1.0,0.0,0.0,4e-05,0.0,0.0,0.0009,0.00071,1e-05,0.00013,1e-05,8e-05,0.0,1e-05,1e-05,2e-05,4e-05,1e-05,0.0,2e-05,1e-05,0.0001,2e-05,0.0,2e-05,5e-05,0.00022,0.0,0.0,5e-05,0.00013,3e-05,0.00019,3e-05,3e-05,4e-05,9e-05,0.00024,3e-05,4e-05,5e-05,0.00012,0.00053,0.06062,0.01965,0.04292,0.01649,0.02116,0.30143,0.00146,2e-05,0.00049,0.00095
75090,1.0,0.0,0.0,8e-05,1e-05,0.0,0.00532,0.00229,2e-05,0.00142,3e-05,0.00168,0.0,2e-05,2e-05,5e-05,6e-05,5e-05,0.0,7e-05,1e-05,0.0001,2e-05,1e-05,2e-05,5e-05,0.0002,0.0,0.0,5e-05,0.00012,3e-05,0.00028,4e-05,5e-05,6e-05,0.00013,0.00031,4e-05,6e-05,7e-05,0.00014,0.00051,1.08999,0.16883,2.15334,0.65437,0.0353,5.61534,0.0059,0.00012,0.00271,0.00307
75092,1.0,0.0,0.0,3e-05,1e-05,0.0,0.00048,0.00033,1e-05,0.00012,1e-05,4e-05,0.0,1e-05,1e-05,2e-05,4e-05,1e-05,0.0,2e-05,1e-05,0.0001,2e-05,0.0,2e-05,5e-05,0.00024,0.0,0.0,6e-05,0.00014,3e-05,0.00019,3e-05,3e-05,4e-05,9e-05,0.00038,3e-05,4e-05,0.00021,0.00011,0.00029,0.02585,0.01048,0.06074,0.02105,0.01229,0.03935,0.00098,2e-05,0.0003,0.00066
75093,1.0,0.0,0.0,9e-05,0.0,0.0,0.00229,0.00189,1e-05,0.00025,1e-05,0.00016,0.0,1e-05,1e-05,2e-05,4e-05,1e-05,0.0,2e-05,1e-05,0.0001,2e-05,1e-05,2e-05,5e-05,0.00022,0.0,0.0,5e-05,0.00013,3e-05,0.00019,3e-05,3e-05,5e-05,9e-05,0.00022,3e-05,4e-05,4e-05,0.00011,0.00131,0.05059,0.02513,0.60774,0.07634,0.02254,0.62882,0.00139,2e-05,0.00047,0.00089
75095,1.0,0.0,0.0,4e-05,1e-05,0.0,0.00093,0.00083,1e-05,9e-05,1e-05,3e-05,0.0,1e-05,1e-05,2e-05,3e-05,1e-05,0.0,2e-05,1e-05,0.0001,2e-05,0.0,2e-05,5e-05,0.00022,0.0,0.0,5e-05,0.00013,3e-05,0.0002,3e-05,3e-05,4e-05,0.0001,0.00021,3e-05,4e-05,4e-05,0.0001,0.0007,0.02125,0.01471,0.06342,0.03386,0.0197,0.02895,0.00097,2e-05,0.0003,0.00065
75096,1.0,1e-05,0.0,0.01011,1e-05,0.0,0.18201,0.16013,1e-05,0.01586,1e-05,0.00605,0.0,1e-05,1e-05,2e-05,4e-05,1e-05,0.0,3e-05,1e-05,0.00016,3e-05,1e-05,3e-05,0.0001,0.00022,0.0,0.0,5e-05,0.00014,3e-05,0.00023,3e-05,3e-05,4e-05,0.00012,0.00026,3e-05,4e-05,5e-05,0.00014,0.11311,3.07528,2.25679,30.14783,3.00325,1.01729,149.003,0.03284,2e-05,0.01601,0.01681
75097,1.0,0.0,0.0,0.0002,1e-05,0.0,0.00608,0.00539,1e-05,0.00051,1e-05,0.00019,0.0,1e-05,1e-05,3e-05,4e-05,1e-05,0.0,2e-05,1e-05,0.0001,3e-05,1e-05,2e-05,5e-05,0.00023,0.0,0.0,5e-05,0.00014,3e-05,0.00134,0.00029,0.0003,0.00033,0.00042,0.00136,0.0003,0.0003,0.00033,0.00042,0.00369,0.0,1e-05,0.0,0.0,0.0,4.58546,3e-05,1e-05,0.0,2e-05
75098,1.0,1e-05,0.0,0.0009,1e-05,0.0,0.09898,0.04366,3e-05,0.0232,4e-05,0.03218,0.0,2e-05,2e-05,5e-05,6e-05,5e-05,0.0,7e-05,1e-05,0.00011,2e-05,0.0,2e-05,6e-05,0.00021,0.0,0.0,5e-05,0.00013,3e-05,0.0003,5e-05,5e-05,6e-05,0.00014,0.00031,4e-05,6e-05,7e-05,0.00015,0.00771,19.97777,4.69948,102.62242,7.47821,0.56479,1998.07769,0.50335,0.00015,0.25532,0.24788
75099,1.0,0.0,0.0,3e-05,1e-05,0.0,0.00049,0.00038,1e-05,8e-05,1e-05,4e-05,0.0,1e-05,1e-05,2e-05,5e-05,1e-05,0.0,3e-05,1e-05,0.0001,2e-05,0.0,2e-05,5e-05,0.00024,0.0,0.0,5e-05,0.00015,3e-05,0.00018,3e-05,3e-05,4e-05,9e-05,0.00022,3e-05,4e-05,4e-05,0.00011,0.00037,0.02386,0.01093,0.06539,0.01629,0.01305,0.03097,0.00096,2e-05,0.00029,0.00065
75100,1.0,0.0,0.0,4e-05,1e-05,0.0,0.00138,0.00104,1e-05,0.00023,1e-05,0.00013,0.0,1e-05,1e-05,2e-05,4e-05,1e-05,0.0,2e-05,1e-05,0.0001,2e-05,0.0,2e-05,5e-05,0.00021,0.0,0.0,5e-05,0.00013,3e-05,0.00018,3e-05,3e-05,4e-05,9e-05,0.00022,3e-05,4e-05,4e-05,0.00011,0.0007,0.04097,0.0175,0.09462,0.02888,0.01887,0.29424,0.00159,2e-05,0.00042,0.00115
75101,1.0,1e-05,0.0,0.00081,1e-05,0.0,0.02118,0.01718,1e-05,0.00233,1e-05,0.00169,0.0,1e-05,1e-05,2e-05,4e-05,1e-05,0.0,3e-05,1e-05,0.00011,2e-05,0.0,2e-05,6e-05,0.00022,0.0,0.0,5e-05,0.00014,3e-05,0.00024,3e-05,4e-05,5e-05,0.00013,0.00026,3e-05,4e-05,5e-05,0.00014,0.01092,0.45625,0.20272,20.61065,1.94752,0.10365,331.44902,0.00696,2e-05,0.0032,0.00375
75103,1.0,1e-05,0.0,0.00011,1e-05,0.0,0.00759,0.00419,1e-05,0.00152,1e-05,0.00191,0.0,1e-05,1e-05,3e-05,4e-05,2e-05,0.0,4e-05,1e-05,0.0001,2e-05,1e-05,2e-05,5e-05,0.00022,0.0,0.0,5e-05,0.00013,3e-05,0.00024,3e-05,4e-05,5e-05,0.00012,0.00026,4e-05,4e-05,5e-05,0.00013,0.00164,0.64992,0.14466,2.17795,0.29301,0.04613,24.62193,0.00676,9e-05,0.00312,0.00355
75105,1.0,1e-05,0.0,0.00029,1e-05,0.0,0.02748,0.01502,1e-05,0.00567,2e-05,0.00683,0.0,1e-05,1e-05,3e-05,4e-05,2e-05,0.0,4e-05,1e-05,9e-05,2e-05,0.0,2e-05,5e-05,0.00021,0.0,0.0,5e-05,0.00013,3e-05,0.00514,0.00117,0.00118,0.00128,0.00151,0.00542,0.00123,0.00121,0.00129,0.00169,0.0055,0.0,1e-05,0.0,0.0,1e-05,31.32266,2e-05,1e-05,0.0,1e-05
75106,1.0,1e-05,0.0,0.00036,1e-05,0.0,0.03052,0.01659,1e-05,0.00627,2e-05,0.0077,0.0,1e-05,1e-05,3e-05,5e-05,3e-05,0.0,5e-05,1e-05,0.00014,2e-05,1e-05,2e-05,9e-05,0.00026,0.0,0.0,6e-05,0.00015,4e-05,0.00516,0.00115,0.00116,0.00125,0.00161,0.00517,0.00121,0.0012,0.00128,0.00149,0.00631,0.0,1e-05,0.0,0.0,1e-05,343.40503,2e-05,0.0,0.0,1e-05
75107,1.0,1e-05,0.0,0.00032,1e-05,0.0,0.02733,0.01507,1e-05,0.00533,2e-05,0.00695,0.0,1e-05,1e-05,3e-05,4e-05,2e-05,0.0,4e-05,1e-05,0.0001,2e-05,0.0,2e-05,5e-05,0.00022,0.0,0.0,5e-05,0.00014,3e-05,0.00513,0.00118,0.00119,0.00128,0.00148,0.00521,0.0012,0.00121,0.00129,0.00151,0.00557,0.0,1e-05,0.0,0.0,1e-05,31.48695,2e-05,1e-05,0.0,1e-05
75108,1.0,0.0,0.0,6e-05,1e-05,0.0,0.00305,0.00178,1e-05,0.00065,1e-05,0.00065,0.0,1e-05,1e-05,3e-05,4e-05,2e-05,0.0,4e-05,1e-05,0.0001,2e-05,1e-05,2e-05,5e-05,0.00024,0.0,0.0,5e-05,0.00015,3e-05,0.00025,4e-05,4e-05,5e-05,0.00012,0.00026,4e-05,4e-05,5e-05,0.00012,0.00085,0.59471,0.16507,3.59308,0.35472,0.06794,5.29875,0.00733,6e-05,0.00341,0.00386
75109,1.0,1e-05,0.0,0.00015,1e-05,0.0,0.00294,0.00233,1e-05,0.00038,1e-05,0.00025,0.0,1e-05,1e-05,3e-05,5e-05,1e-05,0.0,3e-05,1e-05,0.00012,3e-05,1e-05,3e-05,6e-05,0.00027,0.0,0.0,6e-05,0.00016,4e-05,0.00018,3e-05,3e-05,4e-05,9e-05,0.00022,3e-05,4e-05,5e-05,0.00011,0.0015,0.07519,0.03426,1.9421,0.62954,0.04013,1.66446,0.00204,3e-05,0.00052,0.00149
75110,1.0,0.0,0.0,0.00037,1e-05,0.0,0.00529,0.00476,1e-05,0.00042,1e-05,0.00012,0.0,1e-05,1e-05,4e-05,4e-05,1e-05,0.0,2e-05,1e-05,0.00011,3e-05,1e-05,2e-05,6e-05,0.00023,0.0,0.0,5e-05,0.00014,3e-05,0.00023,3e-05,4e-05,5e-05,0.00011,0.00025,3e-05,5e-05,5e-05,0.00013,0.00319,0.31943,0.19846,0.55267,0.08994,0.06807,18.16641,0.00602,3e-05,0.0028,0.00319
